| date | open | last | high | low | volume | amount | exchange |
| 2025-05-16 | 298.33 | 294.24 | 300.3 | 291.78 | 67080854 | 19846041855 | 0.00 |
| 2025-05-09 | 305.92 | 306.84 | 315.62 | 303.05 | 47119969 | 14565695095 | 0.00 |
| 2025-05-02 | 304.15 | 297.98 | 309.11 | 295.32 | 48206912 | 14544979591 | 0.00 |
| 2025-04-25 | 315.02 | 304.73 | 317.63 | 300.59 | 102572571 | 31755020870 | 0.00 |
| 2025-04-17 | 295.54 | 306.12 | 308.06 | 294.53 | 59417628 | 17972534232 | 0.00 |
| 2025-04-11 | 278.86 | 297.93 | 299.28 | 272.58 | 98706635 | 28193741396 | 0.00 |
| 2025-04-04 | 287.53 | 279.72 | 289.13 | 278.02 | 82964983 | 23682220952 | 0.00 |
| 2025-03-28 | 278.91 | 284.06 | 284.64 | 276.86 | 34742126 | 9747443160 | 0.00 |
| 2025-03-21 | 275.54 | 278.49 | 281.48 | 275.39 | 42224731 | 11772588301 | 0.00 |
| 2025-03-14 | 267.62 | 275.24 | 276.3 | 265.64 | 50373116 | 13702413871 | 0.00 |
| 2025-03-07 | 265.07 | 268.39 | 270.34 | 265.07 | 39765027 | 10668718194 | 0.00 |
| 2025-02-28 | 271.45 | 263.27 | 272.32 | 261.25 | 43609287 | 11627206657 | 0.00 |
| 2025-02-21 | 269.68 | 270.74 | 271.84 | 269.24 | 33802732 | 9148842472 | 0.00 |
| 2025-02-14 | 268 | 266.29 | 270.39 | 265.45 | 49642628 | 13296993774 | 0.00 |
| 2025-02-07 | 259.75 | 263.9 | 266.35 | 259.52 | 51938107 | 13658739187 | 0.00 |
| 2025-01-31 | 253.86 | 258.56 | 259.99 | 251.92 | 38750278 | 9932596227 | 0.00 |
| 2025-01-24 | 251.95 | 255.65 | 257.07 | 251.83 | 26734759 | 6797022190 | 0.00 |
| 2025-01-17 | 246.34 | 249.27 | 251.39 | 245.15 | 37257261 | 9257802518 | 0.00 |
| 2025-01-10 | 242.33 | 248.21 | 249.04 | 242.05 | 27532701 | 6782763976 | 0.00 |
| 2025-01-03 | 241.08 | 243.49 | 245.53 | 239.58 | 17162086 | 4175602921 | 0.00 |
| 2024-12-27 | 241.6 | 241.4 | 243.56 | 240.65 | 17636724 | 4263086052 | 0.00 |
| 2024-12-20 | 245.41 | 242.1 | 245.54 | 238.73 | 33388596 | 8073298644 | 0.00 |
| 2024-12-13 | 246.28 | 244.29 | 251.26 | 244.27 | 37139451 | 9208954444 | 0.00 |
| 2024-12-06 | 244.46 | 242.95 | 245.34 | 242.15 | 21278308 | 5188677137 | 0.00 |
| 2024-11-29 | 244.27 | 245.59 | 245.81 | 241.48 | 25318087 | 6162079232 | 0.00 |
| 2024-11-22 | 240.46 | 249.84 | 250.39 | 240.45 | 34872218 | 8544551727 | 0.00 |
| 2024-11-15 | 242.73 | 236.59 | 242.73 | 236.13 | 45792960 | 10959178735 | 0.00 |
| 2024-11-08 | 253.32 | 247.96 | 253.99 | 244.95 | 40300897 | 10029372272 | 0.00 |
| 2024-11-01 | 253.01 | 252.47 | 257.71 | 252.2 | 35694615 | 9088953314 | 0.00 |
| 2024-10-25 | 252.74 | 253.32 | 253.94 | 250.2 | 33482532 | 8446297219 | 0.00 |
| 2024-10-18 | 245.16 | 251.27 | 251.37 | 244.26 | 28005446 | 6942214739 | 0.00 |
| 2024-10-11 | 244.58 | 245.47 | 245.92 | 240.63 | 26221555 | 6372971009 | 0.00 |
| 2024-10-04 | 243.97 | 245 | 246.98 | 242.5 | 35949760 | 8808773815 | 0.00 |
| 2024-09-27 | 242.97 | 245.02 | 247.37 | 242.59 | 36576658 | 8964589872 | 0.00 |
| 2024-09-20 | 238.73 | 242.21 | 242.63 | 235.3 | 34897416 | 8337209134 | 0.00 |
| 2024-09-13 | 231.26 | 238.68 | 238.98 | 230.39 | 29964531 | 7035305945 | 0.00 |
| 2024-09-06 | 230.38 | 230.63 | 232.89 | 228.52 | 22267834 | 5138166110 | 0.00 |
| 2024-08-30 | 233.45 | 231.29 | 233.61 | 230.55 | 23815596 | 5531118545 | 0.00 |
| 2024-08-23 | 230.15 | 232.02 | 234.01 | 228.26 | 30759356 | 7121052203 | 0.00 |
| 2024-08-16 | 226.14 | 231.99 | 232.02 | 225.12 | 34961838 | 7986353024 | 0.00 |
| 2024-08-09 | 220.56 | 224.56 | 225.28 | 220.11 | 39357166 | 8739436649 | 0.00 |
| 2024-08-02 | 221.26 | 225.34 | 228.76 | 219.05 | 35247751 | 7909209241 | 0.00 |
| 2024-07-26 | 221.58 | 220.63 | 224.88 | 217.52 | 32714381 | 7222685211 | 0.00 |
| 2024-07-19 | 223.39 | 221.73 | 229.65 | 221.41 | 39561928 | 8931306339 | 0.00 |
| 2024-07-12 | 219.64 | 223.11 | 224.15 | 217.27 | 29754769 | 6573611534 | 0.00 |
| 2024-07-05 | 215.25 | 220.93 | 221.28 | 214.49 | 19725456 | 4292798518 | 0.00 |
| 2024-06-28 | 215.55 | 215.01 | 215.94 | 212.12 | 22097882 | 4742595065 | 0.00 |
| 2024-06-21 | 214.9 | 214.78 | 218.74 | 213.6 | 25025001 | 5402698548 | 0.00 |
| 2024-06-14 | 213.13 | 215.73 | 216.55 | 212.26 | 27073204 | 5806114273 | 0.00 |
| 2024-06-07 | 215.92 | 211.6 | 219.97 | 211.54 | 34640180 | 7472921412 | 0.00 |
| 2024-05-31 | 218.43 | 215.3 | 218.59 | 214.65 | 16683122 | 3613981681 | 0.00 |
| 2024-05-24 | 223.79 | 215.92 | 225.66 | 215.66 | 32646880 | 7185999141 | 0.00 |
| 2024-05-17 | 217.06 | 223.66 | 223.85 | 215.8 | 33640326 | 7403983423 | 0.00 |
| 2024-05-10 | 215.14 | 218.71 | 219.6 | 213.5 | 33397334 | 7215707403 | 0.00 |
| 2024-05-03 | 216.02 | 212.96 | 217.22 | 210.71 | 42999242 | 9177099213 | 0.00 |
| 2024-04-26 | 216.35 | 216.62 | 217.07 | 213.87 | 42750673 | 9220147795 | 0.00 |
| 2024-04-19 | 217.94 | 221.03 | 222.36 | 215.16 | 50691981 | 11156222991 | 0.00 |
| 2024-04-12 | 215.98 | 216.89 | 225.09 | 214.61 | 79042203 | 17255537511 | 0.00 |
| 2024-04-05 | 208.68 | 215.14 | 215.74 | 206.29 | 64204404 | 13558548774 | 0.00 |
| 2024-03-28 | 201.19 | 205.72 | 206.05 | 200.97 | 25022880 | 5086139221 | 0.00 |
| 2024-03-22 | 199.66 | 200.35 | 203.92 | 198.94 | 35773152 | 7181688710 | 0.00 |
| 2024-03-15 | 201.71 | 199.71 | 202.41 | 199.16 | 34117890 | 6844177855 | 0.00 |
| 2024-03-08 | 194.15 | 201.63 | 203.3 | 193.88 | 54291690 | 10783130165 | 0.00 |
| 2024-03-01 | 187.79 | 192.89 | 193.4 | 187.53 | 32741080 | 6224280458 | 0.00 |
| 2024-02-23 | 187.96 | 188.62 | 189.18 | 187.05 | 22699197 | 4263009188 | 0.00 |
| 2024-02-16 | 186.6 | 186.34 | 187.27 | 183.78 | 34010994 | 6303650541 | 0.00 |
| 2024-02-09 | 186.88 | 187.6 | 189.39 | 186.7 | 24865162 | 4676417915 | 0.00 |
| 2024-02-02 | 188.31 | 188.61 | 191.36 | 187.19 | 36107979 | 6830303320 | 0.00 |
| 2024-01-26 | 187.23 | 187.01 | 188.37 | 186.32 | 25239530 | 4724315174 | 0.00 |
| 2024-01-19 | 189.15 | 187.93 | 189.26 | 185.45 | 25596120 | 4790865882 | 0.00 |
| 2024-01-12 | 187.21 | 189.71 | 191.08 | 186.56 | 28821727 | 5428007350 | 0.00 |
| 2024-01-05 | 191.44 | 189.35 | 191.89 | 188.16 | 26585840 | 5044427069 | 0.00 |
| 2023-12-29 | 190.97 | 191.17 | 193.18 | 190.4 | 21099814 | 4047178620 | 0.00 |
| 2023-12-22 | 187.5 | 190.27 | 191.88 | 187.24 | 29182233 | 5520503955 | 0.00 |
| 2023-12-15 | 184.5 | 187 | 189.82 | 183.15 | 41643919 | 7755245123 | 0.00 |
| 2023-12-08 | 189.6 | 185.64 | 190.38 | 184.9 | 44952099 | 8428985570 | 0.00 |
| 2023-12-01 | 186.56 | 192.01 | 192.4 | 185.93 | 49915257 | 9454930247 | 0.00 |
| 2023-11-24 | 182.32 | 185.52 | 186.12 | 182.23 | 19499110 | 3601368377 | 0.00 |
| 2023-11-17 | 179.4 | 183.67 | 184.32 | 179.11 | 30251591 | 5518910037 | 0.00 |
| 2023-11-10 | 184.14 | 179.51 | 184.23 | 179.25 | 35906669 | 6526195466 | 0.00 |
| 2023-11-03 | 185.54 | 184.79 | 186.21 | 182.67 | 43783634 | 8078779783 | 0.00 |
| 2023-10-27 | 183.51 | 186.15 | 186.36 | 181.68 | 47931654 | 8811411012 | 0.00 |
| 2023-10-20 | 177.84 | 183.59 | 185.23 | 177.54 | 56730314 | 10278406365 | 0.00 |
| 2023-10-13 | 171.18 | 178.83 | 179.1 | 171.08 | 47889092 | 8378832801 | 0.00 |
| 2023-10-06 | 170.23 | 169.7 | 170.46 | 168.3 | 51119119 | 8657171100 | 0.00 |
| 2023-09-29 | 178.41 | 171.45 | 178.71 | 171.27 | 44172033 | 7700839364 | 0.00 |
| 2023-09-22 | 178.82 | 178.62 | 180.66 | 177.69 | 29815047 | 5340615191 | 0.00 |
| 2023-09-15 | 178.97 | 178.34 | 179.11 | 176.36 | 23814578 | 4232743175 | 0.00 |
| 2023-09-08 | 179.33 | 178.08 | 179.44 | 177.7 | 20034970 | 3573526968 | 0.00 |
| 2023-09-01 | 177.65 | 180.11 | 181.12 | 177.51 | 28677373 | 5153969727 | 0.00 |
| 2023-08-25 | 175.9 | 177.62 | 178.49 | 174.96 | 29707311 | 5260460229 | 0.00 |
| 2023-08-18 | 176.86 | 175.33 | 177.58 | 174.93 | 37887297 | 6678205526 | 0.00 |
| 2023-08-11 | 180.15 | 177.6 | 180.15 | 177.49 | 26541577 | 4735545978 | 0.00 |
| 2023-08-04 | 182.43 | 180.19 | 183.09 | 179.28 | 28100090 | 5074925666 | 0.00 |
| 2023-07-28 | 182.22 | 181.86 | 183.64 | 180.32 | 26040556 | 4734402897 | 0.00 |
| 2023-07-21 | 180.99 | 182.18 | 184.23 | 180.64 | 25125298 | 4593492754 | 0.00 |
| 2023-07-14 | 178.37 | 181.43 | 182.17 | 178.26 | 23119985 | 4184738603 | 0.00 |
| 2023-07-07 | 178.61 | 178.64 | 179.65 | 176.66 | 20071904 | 3579046269 | 0.00 |
| 2023-06-30 | 179.05 | 178.27 | 179.29 | 175.79 | 27409122 | 4870095052 | 0.00 |
| 2023-06-23 | 180.06 | 178.2 | 180.09 | 177.63 | 27656917 | 4949076453 | 0.00 |
| 2023-06-16 | 181.8 | 181.63 | 182.62 | 180.14 | 32327244 | 5865334172 | 0.00 |
| 2023-06-09 | 180.79 | 182.04 | 183.04 | 180.15 | 30558185 | 5557908402 | 0.00 |
| 2023-06-02 | 181.72 | 181.05 | 184.21 | 180.96 | 29430612 | 5372347984 | 0.00 |
| 2023-05-26 | 183.22 | 180.92 | 183.84 | 180.09 | 30655098 | 5579281757 | 0.00 |
| 2023-05-19 | 187.3 | 183.64 | 187.88 | 181.34 | 39767736 | 7324865261 | 0.00 |
| 2023-05-12 | 187.82 | 186.81 | 189.64 | 186.58 | 37899333 | 7125455181 | 0.00 |
| 2023-05-05 | 186.05 | 187.46 | 191.36 | 183.91 | 59341305 | 11128675844 | 0.00 |
| 2023-04-28 | 184.07 | 184.8 | 186.65 | 183.38 | 40766767 | 7534092361 | 0.00 |
| 2023-04-21 | 185.89 | 184.25 | 187.03 | 183.22 | 39387121 | 7296488294 | 0.00 |
| 2023-04-14 | 185.18 | 186.36 | 190.41 | 184.19 | 49773203 | 9318536983 | 0.00 |
| 2023-04-06 | 183.85 | 186.49 | 188.86 | 183.32 | 41061251 | 7668308371 | 0.00 |
| 2023-03-31 | 181.15 | 183.22 | 184.44 | 180.69 | 32487766 | 5943969576 | 0.00 |
| 2023-03-24 | 184.19 | 183.65 | 186.24 | 179.9 | 55149956 | 10109377608 | 0.00 |
| 2023-03-17 | 176.66 | 183.77 | 184.81 | 176.21 | 80040682 | 14363420677 | 0.00 |
| 2023-03-10 | 172.32 | 173.87 | 173.88 | 168.52 | 38082404 | 6512327215 | 0.00 |
| 2023-03-03 | 168.88 | 172.49 | 172.6 | 168.55 | 28707936 | 4896349787 | 0.00 |
| 2023-02-24 | 171.2 | 168.35 | 171.5 | 168.19 | 19711583 | 3342258827 | 0.00 |
| 2023-02-17 | 172.7 | 171.26 | 173.51 | 169.52 | 24159419 | 4141244355 | 0.00 |
| 2023-02-10 | 174.11 | 173.36 | 175.52 | 172.63 | 28159219 | 4897361927 | 0.00 |
| 2023-02-03 | 179.29 | 173.46 | 181.73 | 173.12 | 40700456 | 7225411129 | 0.00 |
| 2023-01-27 | 178.35 | 179.22 | 181.22 | 177.78 | 28708340 | 5153696509 | 0.00 |
| 2023-01-20 | 178.21 | 179.29 | 180.03 | 176.9 | 24429003 | 4358971499 | 0.00 |
| 2023-01-13 | 174.51 | 178.76 | 178.83 | 173.72 | 27312802 | 4804326702 | 0.00 |
| 2023-01-06 | 171.32 | 173.71 | 173.96 | 169.79 | 28149124 | 4841432729 | 0.00 |
| 2022-12-30 | 167.89 | 169.64 | 170.61 | 167.1 | 16758500 | 2829654735 | 0.00 |
| 2022-12-23 | 166.71 | 167.26 | 169.71 | 165.99 | 24318659 | 4082588376 | 0.00 |
| 2022-12-16 | 166.44 | 166.79 | 169.79 | 165.1 | 29640449 | 4950806892 | 0.00 |
| 2022-12-09 | 166.55 | 167.06 | 168.09 | 164.32 | 22293776 | 3701622607 | 0.00 |
| 2022-12-02 | 162.93 | 167.26 | 167.95 | 161.91 | 25361022 | 4194191663 | 0.00 |
| 2022-11-25 | 162.44 | 163.22 | 163.43 | 161.28 | 13573862 | 2201675171 | 0.00 |
| 2022-11-18 | 164.2 | 162.79 | 166.23 | 162.68 | 28636096 | 4712229627 | 0.00 |
| 2022-11-11 | 156.22 | 164.56 | 164.58 | 155.81 | 36328252 | 5823518335 | 0.00 |
