universe,grp,rate,yrs,start,deep,mult
A_fair6y,ADA+DOT+OKB+TRX,49.31,6.06,2020-08-14,False,11.349551673736224
A_fair6y,ADA+DOT+OKB+XLM,40.64,6.06,2020-08-14,False,7.898410072476383
A_fair6y,ADA+DOT+LTC+OKB,34.74,6.06,2020-08-14,False,6.091847889570928
A_fair6y,ADA+DOT+OKB+XRP,46.6,6.06,2020-08-14,False,10.157149857861969
A_fair6y,ADA+DOT+OKB+POL,43.85,6.06,2020-08-14,False,9.05594527327701
A_fair6y,ADA+DOT+LINK+OKB,35.38,6.06,2020-08-14,False,6.269318432212154
A_fair6y,ADA+DOT+OKB+ZEC,66.16,6.06,2020-08-14,True,21.696540439671665
A_fair6y,ADA+BNB+DOT+OKB,52.95,6.06,2020-08-14,False,13.133178795539516
A_fair6y,ADA+BCH+DOT+OKB,37.98,6.06,2020-08-14,True,7.03535168760083
A_fair6y,ADA+OKB+TRX+XLM,32.85,6.06,2020-08-14,False,5.592050001359634
A_fair6y,ADA+LTC+OKB+TRX,33.03,6.06,2020-08-14,False,5.63812268645246
A_fair6y,ADA+OKB+TRX+XRP,31.45,6.06,2020-08-14,False,5.2443199311833135
A_fair6y,ADA+OKB+POL+TRX,31.98,6.06,2020-08-14,False,5.373771944144044
A_fair6y,ADA+LINK+OKB+TRX,35.33,6.06,2020-08-14,False,6.255299896465457
A_fair6y,ADA+OKB+TRX+ZEC,45.82,6.06,2020-08-14,True,9.83403136318192
A_fair6y,ADA+BNB+OKB+TRX,32.85,6.06,2020-08-14,False,5.592050001359634
A_fair6y,ADA+BCH+OKB+TRX,35.9,6.06,2020-08-14,True,6.4166730002951455
A_fair6y,ADA+LTC+OKB+XLM,28.17,6.06,2020-08-14,False,4.49971998744082
A_fair6y,ADA+OKB+XLM+XRP,28.78,6.06,2020-08-14,False,4.6310708983758575
A_fair6y,ADA+OKB+POL+XLM,31.04,6.06,2020-08-14,False,5.145973430691434
A_fair6y,ADA+LINK+OKB+XLM,29.56,6.06,2020-08-14,False,4.803678047532065
A_fair6y,ADA+OKB+XLM+ZEC,48.34,6.06,2020-08-14,True,10.910009896423635
A_fair6y,ADA+BNB+OKB+XLM,36.65,6.06,2020-08-14,False,6.634289125136715
A_fair6y,ADA+BCH+OKB+XLM,31.5,6.06,2020-08-14,True,5.256420037060758
A_fair6y,ADA+LTC+OKB+XRP,31.1,6.06,2020-08-14,False,5.16026864424419
A_fair6y,ADA+LTC+OKB+POL,30.42,6.06,2020-08-14,False,5.00018216824998
A_fair6y,ADA+LINK+LTC+OKB,26.5,6.06,2020-08-14,False,4.155933451214206
A_fair6y,ADA+LTC+OKB+ZEC,46.96,6.06,2020-08-14,True,10.309243756027586
A_fair6y,ADA+BNB+LTC+OKB,36.13,6.06,2020-08-14,False,6.482765284362442
A_fair6y,ADA+BCH+LTC+OKB,27.35,6.06,2020-08-14,True,4.328063587470424
A_fair6y,ADA+OKB+POL+XRP,30.96,6.06,2020-08-14,False,5.126964595478407
A_fair6y,ADA+LINK+OKB+XRP,32.42,6.06,2020-08-14,False,5.483258446419998
A_fair6y,ADA+OKB+XRP+ZEC,46.49,6.06,2020-08-14,True,10.111052205831124
A_fair6y,ADA+BNB+OKB+XRP,34.9,6.06,2020-08-14,False,6.135817235349135
A_fair6y,ADA+BCH+OKB+XRP,34.27,6.06,2020-08-14,True,5.964206515439645
A_fair6y,ADA+LINK+OKB+POL,31.29,6.06,2020-08-14,False,5.205755766409217
A_fair6y,ADA+OKB+POL+ZEC,46.77,6.06,2020-08-14,True,10.228736783734663
A_fair6y,ADA+BNB+OKB+POL,33.06,6.06,2020-08-14,False,5.645832193335981
A_fair6y,ADA+BCH+OKB+POL,33.31,6.06,2020-08-14,True,5.710421085687822
A_fair6y,ADA+LINK+OKB+ZEC,50.05,6.06,2020-08-14,True,11.694728895587092
A_fair6y,ADA+BNB+LINK+OKB,38.7,6.06,2020-08-14,False,7.2607812734969635
A_fair6y,ADA+BCH+LINK+OKB,29.47,6.06,2020-08-14,True,4.783491833824569
A_fair6y,ADA+BNB+OKB+ZEC,47.13,6.06,2020-08-14,True,10.381724120172132
A_fair6y,ADA+BCH+OKB+ZEC,50.4,6.06,2020-08-14,True,11.861015889604138
A_fair6y,ADA+BCH+BNB+OKB,38.75,6.06,2020-08-14,True,7.276657439388232
A_fair6y,DOT+OKB+TRX+XLM,50.36,6.06,2020-08-14,False,11.841912323343191
A_fair6y,DOT+LTC+OKB+TRX,43.74,6.06,2020-08-14,False,9.014061183705318
A_fair6y,DOT+OKB+TRX+XRP,55.32,6.06,2020-08-14,False,14.415772971682573
A_fair6y,DOT+OKB+POL+TRX,56.7,6.06,2020-08-14,False,15.209611416454504
A_fair6y,DOT+LINK+OKB+TRX,45.59,6.06,2020-08-14,False,9.740408454434117
A_fair6y,DOT+OKB+TRX+ZEC,75.21,6.06,2020-08-14,True,29.920363891341434
A_fair6y,BNB+DOT+OKB+TRX,60.5,6.06,2020-08-14,False,17.586471907824226
A_fair6y,BCH+DOT+OKB+TRX,46.78,6.06,2020-08-14,True,10.232960864335372
A_fair6y,DOT+LTC+OKB+XLM,36.37,6.06,2020-08-14,False,6.552336207287311
A_fair6y,DOT+OKB+XLM+XRP,45.22,6.06,2020-08-14,False,9.591359745169745
A_fair6y,DOT+OKB+POL+XLM,48.9,6.06,2020-08-14,False,11.16199614985965
A_fair6y,DOT+LINK+OKB+XLM,37.52,6.06,2020-08-14,False,6.894410432233182
A_fair6y,DOT+OKB+XLM+ZEC,68.62,6.06,2020-08-14,True,23.717507953525505
A_fair6y,BNB+DOT+OKB+XLM,55.62,6.06,2020-08-14,False,14.58533439436916
A_fair6y,BCH+DOT+OKB+XLM,39.85,6.06,2020-08-14,True,7.633339394864772
A_fair6y,DOT+LTC+OKB+XRP,41.88,6.06,2020-08-14,False,8.32994913684431
A_fair6y,DOT+LTC+OKB+POL,42.45,6.06,2020-08-14,False,8.534822012845549
A_fair6y,DOT+LINK+LTC+OKB,31.24,6.06,2020-08-14,False,5.193753138758191
A_fair6y,DOT+LTC+OKB+ZEC,59.51,6.06,2020-08-14,True,16.939272912951104
A_fair6y,BNB+DOT+LTC+OKB,47.71,6.06,2020-08-14,False,10.632220694323253
A_fair6y,BCH+DOT+LTC+OKB,32.19,6.06,2020-08-14,True,5.425796882136229
A_fair6y,DOT+OKB+POL+XRP,54.18,6.06,2020-08-14,False,13.786370017032104
A_fair6y,DOT+LINK+OKB+XRP,42.77,6.06,2020-08-14,False,8.651670574936183
A_fair6y,DOT+OKB+XRP+ZEC,73.87,6.06,2020-08-14,True,28.560210496296815
A_fair6y,BNB+DOT+OKB+XRP,60.67,6.06,2020-08-14,False,17.69965697709663
A_fair6y,BCH+DOT+OKB+XRP,45.25,6.06,2020-08-14,True,9.603373385269808
