,BTC,ETH,OKB,AAVE,ADA,APT,AVAX,DOT,FIL,LINK,POL,RENDER,SOL,GRAM,TRX,UNI,ZEC,BNB,XLM,LTC,XRP,GLM,BCH,RAY,PENDLE,ETHFI,HYPE
2016-10-21,632.828,12.1754,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-28,689.651,11.0851,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-04,703.23499,11.0907,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-11,716.41101,10.2899,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-18,751.58502,9.47616,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-25,741.64899,9.40205,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-02,777.94397,7.75996,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09,772.79401,8.44601,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-16,784.90698,7.85821,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-23,921.98401,7.16615,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-30,961.23798,8.15998,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,902.20099,10.2547,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,823.98401,9.7695,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,895.026,10.6006,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-27,919.75,10.5373,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,1029.91,11.1145,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,988.67401,11.2789,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,1046.21,12.6765,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-24,1173.6801,13.0692,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,1274.99,19.459,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-10,1116.72,19.3323,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-17,1100.23,46.827999,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-24,937.52002,53.107498,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,1071.79,50.0373,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,1176.9,42.162601,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-14,1167.54,47.5741,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-21,1222.05,48.2244,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28,1316.48,70.159203,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-05,1555.45,94.398499,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-12,1724.24,88.655403,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-19,1987.71,129.52699,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-26,2202.4199,160.403,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-02,2488.55,223.77499,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-09,2823.8101,281.737,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16,2518.5601,370.22699,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,2744.9099,341.73901,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2480.8401,294.91598,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,2518.6599,245.991,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,2233.3401,199.662,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-21,2667.76,218.30499,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-28,2809.01,193.123,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-04,2895.8899,223.073,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-11,4086.29,299.1,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,4310.01,348.13,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,4509.08,341.77,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,4130.37,293.5,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08,3699.99,257.55,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15,3660.02,282,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22,4378.48,303.95,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-29,4640,311.07,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,5709.99,337.96,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,5950.02,293.79,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-20,6169.98,305,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,7345.01,295.53,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,5811.03,305.24,,,,,,,,,,,,,,,,1.49,,,,,,,,,
2017-11-10,8038,354.15,,,,,,,,,,,,,,,,1.6,,,,,,,,,
2017-11-17,9128.02,462.84,,,,,,,,,,,,,,,,1.8388,,,,,,,,,
2017-11-24,11165.41,460.3,,,,,,,,,,,,,,,,2.2617,,,,,,,,,
2017-12-01,14899.98,427.35,,,,,,,,,,,,,,,,2.4619,,,,,,,,,
2017-12-08,18860.02,707.64,,,,,,,,,,,,,,,,5.999,,311.4,,,,,,,
2017-12-15,13500,658,,,,,,,,,,,,,,,,5.181,,262.9,,,,,,,
2017-12-22,13716.36,733.98,,,,,,,,,,,,,,,,8.53,,223.69,,,,,,,
2017-12-29,16150.03,1123.09,,,,,,,,,,,,,,,,18.594,,269.01,,,,,,,
2018-01-05,13474.99,1347,,,,,,,,,,,,,,,,20.4541,,234.12,,,,,,,
2018-01-12,11530,1049,,,,,,,,,,,,,,,,14.1334,,190.16,,,,,,,
2018-01-19,11879.95,1251.96,,,,,,,,,,,,,,,,13.7739,,196.74,,,,,,,
2018-01-26,8184.81,823.56,,,,,,,,,,,,,,,,8.3511,,147.09,,,,,,,
2018-02-02,8063.88,808.99,,,,,,,,,,,,,,,,8.674,,148.28,,,,,,,
2018-02-09,10383.43,911,,,,,,,,,,,,,,,,10.6631,,213.66,,,,,,,
2018-02-16,9590,841.19,,,,,,,,,,,,,,,,9.35,,217.78,,,,,,,
2018-02-23,11515,866.66,,,,,,,,,,,,,,,,10.4139,,213.19,,,,,,,
2018-03-02,9533.57,720.85,,,,,,,,,,,,,,,,8.268,,188.16,,,,,,,
2018-03-09,8189.99,537,,,,,,,,,,,,,,,,8.9648,,153.5,,,,,,,
2018-03-16,8470.15,523.74,1.0786,,,,,,,,,,,,,,,12.95,,160.01,,,,,,,
2018-03-23,6813.01,378.58,0.6984,,,,,,,,,,,,,,,11.0767,,114.74,,,,,,,
2018-03-30,7018,400.4,0.8605,,,,,,,,,,,,,,,12.1311,,117.55,,,,,,,
2018-04-06,8355,533.88,1.3718,,,,,,,,,,,,,,,13.0989,,132.45,,,,,,,
2018-04-13,8787.02,620.92,1.7178,,0.2816,,,,,,,,,,,,,12.8888,,146.38,,,,,,,
2018-04-20,9419,690.85,1.8468,,0.36254,,,,,,,,,,,,,15.0489,,153.5,,,,,,,
2018-04-27,9659.01,794.3,2.0327,,0.34654,,,,,,,,,,,,,14.012,,172.32,0.86483,,,,,,
2018-05-04,8679.71,729.08,3.8323,,0.27718,,,,,,,,,,,,,13.1515,,144.24,0.72999,,,,,,
2018-05-11,8526.98,716.16,4.553,,0.25556,,,,,,,,,,,,,14.1666,,139.64,0.6994,,,,,,
2018-05-18,7338.99,570.4,3.7926,,0.19186,,,,,,,,,,,,,12.6046,,117.71,0.60416,,,,,,
2018-05-25,7714.26,619.66,4.685,,0.22659,,,,,,,,,,,,,14.6995,0.30405,125.33,0.6901,,,,,,
2018-06-01,6764.99,524.11,4.6514,,0.17346,,,,,,,,,,,,,14.18,0.24402,106.48,0.58201,,,,,,
2018-06-08,6449.61,497.14,4.02,,0.16044,,,,,,,,,,0.04234,,,16.5987,0.22814,94.95,0.52617,,,,,,
2018-06-15,6136.97,454.41,3.4911,,0.13093,,,,,,,,,,0.04205,,,14.4174,0.19277,80.37,0.47331,,,,,,
2018-06-22,6356.81,452.1,3.7323,,0.14211,,,,,,,,,,0.03665,,,14.37,0.19989,79.95,0.46222,,,,,,
2018-06-29,6712.1,486.77,3.8534,,0.14481,,,,,,,,,,0.03677,,,14.01,0.21033,82.22,0.47915,,,,,,
2018-07-06,6353.01,449.78,3.5242,,0.14227,,,,,,,,,,0.03437,,,12.321,0.22118,78.54,0.44681,,,,,,
2018-07-13,7394.79,457.47,3.7221,,0.16916,,,,,,,,,,0.0351,,,12.1885,0.2831,82.21,0.44859,,,,,,
2018-07-20,8211,466.4,3.8427,,0.16268,,,,,,,,,,0.03905,,,13.9569,0.30793,83.85,0.45315,,,,,,
2018-07-27,7024.19,408.79,3.2181,,0.13024,,,,,,,,,,0.03025,,,13.64,0.2431,74.61,0.4345,,,,,,
2018-08-03,6308.33,317.89,2.252,,0.11153,,,,,,,,,,0.02248,,,11.7999,0.22344,59.32,0.29547,,,,,,
2018-08-10,6477.53,299.42,2.0688,,0.10143,,,,,,,,,,0.02205,,,10.1388,0.22785,57.67,0.34201,,,,,,
2018-08-17,6700,274.29,1.7943,,0.09306,,,,,,,,,,0.02273,,,10.2158,0.213,56.99,0.32276,,,,,,
2018-08-24,7302.01,295.41,1.8535,,0.10499,,,,,,,,,,0.02568,,,11.3684,0.226,66.21,0.34253,,,,,,
2018-08-31,6250.81,195.81,1.3645,,0.07601,,,,,,,,,,0.01932,,,9.5399,0.19024,54.74,0.2766,,,,,,
2018-09-07,6505,220.17,1.3187,,0.06988,,,,,,,,,,0.01994,,,9.9399,0.2058,56.75,0.28122,,,,,,
2018-09-14,6708,244.5,1.5272,,0.08986,,,,,,,,,,0.02381,,,10.2907,0.28163,61.38,0.5719,,,,,,
2018-09-21,6626.57,232.94,1.5166,,0.08511,,,,,,,,,,0.02227,,,10.0172,0.2599,61.21,0.58257,,,,,,
2018-09-28,6615.26,226.14,1.4543,,0.08464,,,,,,,,,,0.02699,,,10.5852,0.24535,58.33,0.48269,,,,,,
2018-10-05,6339.34,197.01,1.2989,,0.0717,,,,,,,,,,0.02387,,,9.5895,0.21102,52.61,0.40994,,,,,,
2018-10-12,6590.11,207.49,1.3548,,0.07721,,,,,,,,,,0.02458,,,9.9311,0.24731,53.61,0.46458,,,,,,
2018-10-19,6489.93,204.99,1.2807,,0.07364,,,,,,,,,,0.02358,,,9.7207,0.23453,52.07,0.46472,,,,,,
2018-10-26,6485.85,212.11,1.2516,,0.0773,,,,,,,,,,0.02369,,,9.819,0.24596,54.6,0.46999,,,,,,
2018-11-02,6449.81,212.54,1.2014,,0.077,,,,,,,,,,0.02299,,,9.5611,0.27712,51.46,0.51019,,,,,,
2018-11-09,5662,178.97,1.0391,,0.06234,,,,,,,,,,0.01896,,,8.0832,0.25333,42.61,0.51611,,,,,,
2018-11-16,4085.78,118.67,0.7364,,0.03832,,,,,,,,,,0.01252,,,5.2873,0.16293,31.49,0.382,,,,,,
2018-11-23,4161.01,116.57,0.8342,,0.04187,,,,,,,,,,0.01499,,,5.2888,0.16101,33.82,0.36963,,,,,,
2018-11-30,3545.37,93.26,0.7001,,0.0311,,,,,,,,,,0.01341,,,4.7693,0.12121,25.37,0.30914,,,,,,
2018-12-07,3228.67,84.67,0.689,,0.029,,,,,,,,,,0.01293,,,4.616,0.09569,25.52,0.28669,,,,,,
2018-12-14,3929.71,129.03,0.7489,,0.04369,,,,,,,,,,0.02056,,,5.959,0.12454,32.97,0.3669,,,,,,
2018-12-21,3801.91,137.77,0.6905,,0.04263,,,,,,,,,,0.01961,,,5.8939,0.11556,31.38,0.36489,,,,,,
2018-12-28,3987.6,153.86,0.6558,,0.04822,,,,,,,,,,0.02249,,,6.2688,0.11871,38.3,0.36042,,,,,,
2019-01-04,3476.81,114.16,0.6057,,0.03944,,,,,,,,,,0.02085,,,5.4688,0.10102,29.59,0.31132,,,,,,
2019-01-11,3539.28,117.47,0.5967,,0.04287,,,,,0.4834,,,,,0.02355,,,6.4008,0.10289,30.64,0.3168,,,,,,
2019-01-18,3550.84,112.05,0.6149,,0.04087,,,,,0.4303,,,,,0.02902,,,7.0396,0.0943,32.21,0.30646,,,,,,
2019-01-25,3458.11,107.36,0.5988,,0.03824,,,,,0.3963,,,,,0.02542,,,6.7887,0.08012,33.44,0.30219,,,,,,
2019-02-01,3680.06,125.12,0.6302,,0.0429,,,,,0.4499,,,,,0.02579,,,9.1697,0.08022,46.79,0.30988,,,,,,
2019-02-08,3667.58,133.75,0.6506,,0.04157,,,,,0.4604,,,,,0.02378,,,9.22,0.07964,43.91,0.30318,,,,,,
2019-02-15,3743.56,132.1,0.6776,,0.04156,,,,,0.405,,,,,0.02327,,,9.9476,0.08185,43.75,0.29757,,,,,,
2019-02-22,3807.75,130.6,0.7863,,0.04206,,,,,0.4205,,,,,0.02248,,,11.4511,0.0875,47.86,0.31114,,,,,,
2019-03-01,3916.82,135.37,0.9873,,0.04557,,,,,0.4981,,,,,0.02285,,,14.3711,0.10028,56.59,0.31289,,,,,,
2019-03-08,3981.14,138.67,1.1144,,0.04983,,,,,0.4785,,,,,0.0229,,,15.5693,0.10896,60.47,0.3154,,,,,,
2019-03-15,3992.18,136.09,1.375,,0.06151,,,,,0.4531,,,,,0.02324,,57.21,17.1096,0.10437,59.82,0.30787,,,,,,
2019-03-22,4103.95,141.38,1.8185,,0.06989,,,,,0.5084,,,,,0.02344,,58.65,17.5376,0.10824,60.48,0.30889,,,,,,
2019-03-29,5170.27,174.21,2.123,,0.0898,,,,,0.5773,,,,,0.02889,,74.37,18.9523,0.13226,91.55,0.3612,,,,,,
2019-04-05,5131.3,167.23,1.5643,,0.08416,,,,,0.5225,,,,,0.02686,,69.6,19.3866,0.1172,83.28,0.32762,,,,,,
2019-04-12,5256.14,168.59,1.614,,0.0733,,,,,0.4963,,,,,0.02476,,67.91,23.9999,0.11095,76.65,0.31963,,,,,,
2019-04-19,5307.52,157.85,1.629,,0.06878,,,,,0.451,0.00442,,,,0.02334,,60.6,23.0226,0.0985,69.89,0.29946,,,,,,
2019-04-26,5775.62,163.05,1.5826,,0.06603,,,,,0.5058,0.00372,,,,0.02319,,59.59,22.9777,0.097,75.7,0.30044,,,,,,
2019-05-03,6967.31,188.11,1.3757,,0.07022,,,,,0.6586,0.0053,,,,0.02376,,60.67,20.8934,0.09823,84.73,0.31016,,,,,,
2019-05-10,8148.48,259.51,1.379,,0.08613,,,,,0.9934,0.02018,,,,0.02825,,77.6,29.1122,0.14264,94.58,0.41631,,,,,,
2019-05-17,8614.43,264.45,1.596,,0.08514,,,,,1.0828,0.02419,,,,0.0307,,75.32,33.0919,0.1316,111,0.40372,,,,,,
2019-05-24,8725.98,268.88,1.514,,0.0963,,,,,1.0155,0.02012,,,,0.03822,,88.86,33.1527,0.13639,114.39,0.44396,,,,,,
2019-05-31,7628.13,230.98,1.4691,,0.07887,,,,,1.0595,0.02537,,,,0.02963,,77.35,30.095,0.11845,114.66,0.38527,,,,,,
2019-06-07,8953.33,267.73,1.6401,,0.09189,,,,,1.6621,0.0224,,,,0.03281,,93.51,32.1888,0.12958,136.45,0.42703,,,,,,
2019-06-14,10906.07,308.52,1.6439,,0.097,,,,,1.8169,0.02104,,,,0.03757,,110.25,37.2836,0.12817,137.5,0.47015,,,,,,
2019-06-21,10854.1,292.7,1.8432,,0.08226,,,,,3.3885,0.02217,,,,0.032,,103.3,32.114,0.10495,123.25,0.3962,,,,,,
2019-06-28,11406.24,304.72,1.9059,,0.0797,,,,,3.275,0.01759,,,,0.03464,,106.45,32.9344,0.10555,119.48,0.39651,,,,,,
2019-07-05,10174.18,225.85,1.8661,,0.05923,,,,,2.7856,0.01431,,,,0.02516,,82.29,28.5447,0.08547,89.66,0.30366,,,,,,
2019-07-12,10589.45,225.38,2.1698,,0.06107,,,,,2.5319,0.01345,,,,0.02916,,75.37,30.4388,0.09111,99.7,0.33075,,,,,,
2019-07-19,9541.54,211.62,2.6423,,0.05936,,,,,2.2156,0.01179,,,,0.02233,,68.72,27.7555,0.084,90,0.31218,,,,,,
2019-07-26,10929.23,221.79,3.1369,,0.05605,,,,,2.5099,0.01022,,,,0.02229,,65.73,27.3834,0.08183,92.64,0.31813,,,,,,
2019-08-02,11549.97,216.42,3.321,,0.05472,,,,,2.415,0.01603,,,,0.02071,,59.91,30.2439,0.0782,89.93,0.30316,,,,,,
2019-08-09,10306.78,194.33,3.1622,,0.05061,,,,,2.5051,0.0139,,,,0.01777,,52.62,27.8977,0.07072,76.25,0.2832,,,,,,
2019-08-16,10142.69,186.54,2.9222,,0.04949,,,,,2.078,0.01373,,,,0.01744,,50.15,26.0888,0.0694,72.1,0.26954,,,,,,
2019-08-23,9724.98,170.74,2.4759,,0.04425,,,,,1.7686,0.01217,,,,0.0155,,45.21,21.4248,0.06212,65.89,0.25593,,,,,,
2019-08-30,10381.18,181.19,2.6638,,0.04657,,,,,1.8275,0.01387,,,,0.01576,,48.28,22.4111,0.06105,70.36,0.26205,,,,,,
2019-09-06,10302.01,189.03,2.77,,0.04664,,,,,1.6104,0.01283,,,,0.01552,,46.63,20.2901,0.05825,70.04,0.26022,,,,,,
2019-09-13,10028.87,211.2,2.7364,,0.04892,,,,,1.8157,0.01252,,,,0.01681,,46.13,20.3602,0.0683,72.23,0.27653,,,,,,
2019-09-20,8043.82,169.24,2.0792,,0.03715,,,,,1.7002,0.01087,,,,0.01327,,37.74,15.1999,0.05791,53.82,0.24024,,,,,,
2019-09-27,7854.25,170.1,2.045,,0.03881,,,,,2.1669,0.01016,,,,0.0145,,35.57,15.0688,0.05839,54.41,0.25552,,,,,,
2019-10-04,8275.01,180.99,2.2763,,0.04127,,,,,2.486,0.01494,,,,0.01606,,36.9,18.256,0.06136,56.46,0.27726,,,,,,
2019-10-11,8223.35,175.22,2.3162,,0.03946,,,,,2.4444,0.01376,,,,0.0155,,36.32,18.4997,0.0632,54.85,0.29386,,,,,,
2019-10-18,9529.93,183.75,2.8715,,0.04216,,,,,2.6646,0.01402,,,,0.0191,,37.32,19.2888,0.06514,59.78,0.29818,,,,,,
2019-10-25,9194.71,181.54,3.0912,,0.04168,,,,,2.6605,0.01354,,,,0.01964,,37.03,20.1874,0.06863,58.29,0.29024,,,,,,
2019-11-01,9039.47,188.96,3.141,,0.04384,,,,,2.777,0.01571,,,,0.01934,,37.58,20.4333,0.07892,63.65,0.27894,,,,,,
2019-11-08,8502.4,183.82,2.8961,,0.04501,,,,,2.91,0.01432,,,,0.01874,,35.78,20.194,0.07157,59.22,0.26311,,,,,,
2019-11-15,6903.28,139.96,1.9657,,0.03498,,,,,2.2216,0.01515,,,,0.0137,,27.26,14.9964,0.05546,43.86,0.21989,,,,,,
2019-11-22,7390.89,150.73,2.415,,0.03956,,,,,2.1638,0.02661,,,,0.01591,,27.93,15.4297,0.05723,47.45,0.22477,,214.36,,,,
