,AAPL,GOOGL,MSFT,AMZN,META,XOM,JNJ,JPM,GE,WFC,PG,CVX,PFE,VZ,KO,PEP,WMT,BAC,INTC,ORCL,CSCO,HD,CMCSA,NFLX,MRK,BA,IBM,MO,ABT,MCD,UNH,MA,GILD,QCOM,AMGN,COST,DIS,MMM,ABBV,MDT,TXN,LMT,UPS,ACN,NKE,LIN,DHR,CAT,CL,BMY,SPY,CWB
2016-12-19,26.806358,40.035,56.640845,38.0295,116.249155,59.769,89.401367,67.421046,138.662769,43.092437,65.205799,79.132245,19.728679,31.707368,30.953154,78.499631,19.80293,18.237896,30.184107,33.531045,22.874553,107.168131,25.617481,12.559,42.418778,146.242,106.645,34.896069,32.029518,98.285274,139.422825,98.913095,52.326593,51.723698,110.886423,137.34121,97.628972,109.286332,41.735081,55.742632,57.299655,194.212371,80.371305,99.041307,45.523355,100.620468,66.603086,76.409208,52.622629,42.200137,194.245,35.230463
2016-12-27,26.645317,39.274246,55.655631,37.4935,114.04848,59.472,88.823142,66.832419,137.444903,42.437888,64.530409,78.651116,19.728679,31.530166,30.848985,78.156022,19.683327,17.834403,29.612593,33.245711,22.642286,106.398393,25.135947,12.38,41.927359,144.268,106.185,34.844539,32.021182,97.151888,136.865785,97.533923,50.88413,50.439502,109.879389,135.671898,96.765492,109.176282,41.922534,55.184819,56.213442,194.484715,79.449568,98.746241,44.576231,100.278193,65.770983,75.129241,51.963556,41.37185,192.368,34.996076
2017-01-03,27.126138,40.897849,56.282585,39.7995,122.335706,58.313,89.663496,67.069817,137.488398,42.383984,65.259523,78.076435,20.336089,31.795336,31.057324,78.103734,19.438424,18.302455,29.784047,33.375916,22.844261,105.961944,25.580058,13.107,42.924442,147.437,108.449,35.158871,33.996975,96.385656,138.892602,102.005175,53.641153,50.694794,117.822931,137.976735,101.185025,108.968408,42.70582,56.455394,57.122471,200.639688,79.976275,98.04651,47.277289,99.431061,67.959406,75.372273,53.488159,42.721091,195.535,35.448381
2017-01-09,27.386104,41.181831,56.157194,40.857,127.22279,56.896,88.352852,67.521518,136.401017,42.591899,64.476685,77.769048,19.752976,31.371478,30.417427,75.855338,19.116633,18.568761,30.037146,34.079024,22.723352,107.160195,26.490122,13.37,44.398701,147.187,107.048,34.823927,34.342435,96.976293,138.370932,102.894975,51.921566,51.73917,117.326929,137.15479,100.33083,108.454839,41.919502,58.17532,57.77728,198.056311,79.172354,98.594492,46.409092,100.184067,68.745211,76.538825,52.312944,40.063049,195.398,35.594038
2017-01-17,27.60696,41.044548,56.19302,40.4165,125.934106,56.593,88.005917,65.161769,132.790914,42.407086,67.648362,77.247825,19.297418,31.472965,30.744816,77.117727,19.130872,18.270176,30.159613,34.608525,22.746022,107.60458,26.781342,13.86,44.53402,147.836,109.102,36.076104,33.94808,97.582894,135.685612,104.087686,50.457786,48.644722,116.237228,139.171523,99.95944,109.12737,41.351468,58.097846,57.58469,200.546313,79.67134,97.009561,46.654642,100.449331,68.043902,77.255582,54.268545,35.08189,195.131,35.647701
2017-01-23,28.055573,41.880139,58.915793,41.7885,131.029362,56.343,87.412272,67.700641,130.529162,43.577574,67.083658,76.038322,19.084824,29.610377,30.841544,77.297001,18.698021,18.851206,31.00872,34.921017,23.411022,109.770956,27.647722,14.245,43.978502,155.407,113.42,36.601709,34.401169,98.061789,139.388617,103.974095,50.635429,41.960714,118.108507,137.324263,101.482136,108.509864,40.573804,58.066856,60.493094,197.254842,81.84054,97.245615,46.645873,102.853817,68.40723,80.857793,51.656946,34.020099,197.05,36.199665
2017-01-30,29.695886,40.646081,57.03493,40.51,129.839808,55.045,87.612723,67.89534,129.18081,44.400739,67.617419,75.891311,19.690368,29.001454,30.90851,78.51457,18.937228,18.794717,30.029564,35.094624,23.667954,109.493215,27.396545,14.025,45.787496,150.495,112.473,36.838747,35.894683,99.163248,138.430796,100.888192,51.402848,40.985963,125.901745,142.628779,102.41061,107.018068,41.026878,59.143747,59.306955,198.001842,74.120127,96.520593,45.91799,100.517786,70.713947,76.193706,52.68721,36.186439,197.368,36.468871
2017-02-06,30.527044,41.375612,57.321538,41.373,133.021865,54.873,88.846271,67.755156,129.267801,44.08287,68.050616,75.543829,19.849904,29.240247,30.194207,79.254076,19.370079,18.62525,29.059277,35.407116,23.811534,110.977143,27.356502,14.482,45.687787,155.38,115.211,37.317975,35.861121,100.424339,137.472975,101.541343,47.153621,41.775047,126.172291,146.139656,101.444998,109.43918,40.85782,58.996546,58.268114,202.740627,74.39041,99.142473,49.303083,99.456731,70.958982,78.668695,54.084854,36.806412,199.236,36.714556
2017-02-13,31.358843,41.955471,58.227718,42.2535,132.36761,54.368,91.637173,70.270664,132.09499,45.036475,70.464143,74.431935,20.629174,29.365613,30.67785,80.785375,19.754519,19.78731,29.996673,36.50952,25.496704,113.476807,27.418386,14.222,46.570919,161.437,116.494,37.60139,37.497274,102.004694,134.796207,103.576525,49.633521,43.678133,131.128681,149.419302,102.187776,112.582618,41.770731,61.111589,59.26044,206.47563,74.653836,102.202738,49.767875,100.475001,71.018129,80.743438,57.487121,38.901491,202.317,36.706878
2017-02-21,31.576036,42.017917,58.227718,42.262,134.260984,53.915,95.246926,70.348544,132.359431,44.819394,70.4332,74.290263,21.021877,30.20736,31.087086,82.040294,20.614526,19.553284,30.037787,37.473038,25.935,115.817762,27.585838,14.325,47.119314,165.858,116.932,38.353727,38.327936,102.683129,139.448481,105.072146,49.697473,44.266078,132.089691,150.863705,102.429179,115.327185,41.987125,62.777283,59.880643,206.981412,74.151022,104.057444,50.741309,101.065427,72.733379,77.990728,58.581277,40.219823,203.737,36.745267
2017-02-27,32.296928,42.080859,57.894319,42.494,135.975924,54.833,96.069558,72.272167,132.052536,45.656705,70.007739,76.604244,21.181412,29.902898,31.607933,83.152466,19.942467,20.592316,29.519752,37.056381,25.912329,117.293754,27.098044,13.914,47.418439,170.289,116.094,38.941168,37.967144,102.835895,143.844195,105.772627,50.265931,44.070867,136.357484,144.661267,103.283375,116.496395,42.832412,63.420318,60.361301,209.786293,73.976434,104.234485,49.878957,101.300639,73.367093,77.69667,58.772954,40.804165,205.183,36.663058
2017-03-06,32.149053,42.691692,58.507053,42.623,137.581822,54.268,97.947645,71.088399,132.75401,45.625693,70.448671,74.620832,20.929837,29.461131,31.46656,82.422926,20.109183,20.487088,29.527975,37.047701,25.889659,117.241152,27.170849,14.089,46.720481,167.036,114.663,39.394632,38.361498,102.900218,145.908292,105.270931,48.45397,45.788725,137.295793,140.506482,102.986263,117.665605,44.550037,64.334513,62.276179,210.491431,74.535116,104.478969,49.641438,100.740729,74.152897,75.401383,59.308052,41.559534,204.554,36.462755
2017-03-13,32.34545,43.235124,58.452988,42.6155,138.622681,54.527,99.383372,70.621122,131.000324,45.486142,70.394522,72.644166,21.058693,30.081993,31.54913,83.776711,20.048942,20.122837,29.001718,39.634443,25.866988,119.436679,27.272776,14.511,45.83815,168.345,113.257,39.04141,37.9168,103.43088,145.667945,106.804417,49.449758,44.937604,127.587322,142.579626,103.766181,118.373285,44.421553,63.706972,63.725905,213.092605,75.526776,105.566501,50.846627,101.920847,73.2319,75.89148,59.068456,40.112931,204.876,36.724689
2017-03-20,32.495636,41.389985,58.552107,42.2805,139.118329,54.015,97.381115,67.981007,130.29885,43.284324,70.061888,72.853301,20.862341,29.658135,31.616687,84.325746,19.96862,18.7144,28.911267,38.757729,25.753636,117.927753,27.214532,14.202,45.321664,164.344,112.084,38.007716,37.530836,103.993703,141.633535,105.99981,48.339896,44.445672,125.41559,141.058754,104.119001,117.850217,44.374217,63.088459,62.477745,209.519908,73.361884,100.30588,49.579859,100.275573,72.674233,75.270691,58.836846,39.827887,202.136,36.616834
2017-03-27,33.193424,42.017421,59.345056,44.327,140.813443,54.534,96.659371,68.409344,130.649587,43.152525,69.504921,72.43503,20.991197,29.102941,31.856889,84.130199,20.677175,19.09484,29.659539,38.723007,25.542045,117.225184,27.367423,14.781,45.579907,165.316,112.283,37.098689,37.262339,104.210793,140.783734,106.463642,48.633472,44.773627,124.1519,142.477668,105.279592,117.73945,44.063151,62.745757,62.454488,209.660935,74.933176,101.064623,49.025649,102.162039,72.386646,75.768956,58.453492,38.751842,203.761,37.055959
2017-04-03,33.119486,41.734926,59.182862,44.744,139.554498,55.033,96.946516,67.502183,131.482588,42.516789,69.02531,73.440229,20.923701,29.395518,31.984497,83.942174,20.912404,18.746778,29.626648,38.445236,25.124248,117.464696,27.800608,14.311,45.285797,167.176,110.994,37.249328,36.775688,104.492204,142.509088,106.454865,47.673978,43.977166,123.629776,144.96714,104.527529,116.914849,44.320118,62.597771,62.43123,211.721504,73.319983,99.007585,48.480235,102.377389,72.843664,78.023401,58.661142,38.343947,203.294,37.104395
2017-04-10,32.590369,41.63977,58.525074,44.2335,138.176599,54.321,97.000841,66.107963,129.597376,39.811034,69.644163,71.57825,20.788709,29.371354,32.119611,84.746923,20.98412,18.083032,28.985272,38.358059,24.712625,116.49068,27.153572,14.292,44.912779,164.157,109.311,37.036356,36.021375,105.135431,141.599199,105.487438,47.623855,41.220784,122.290416,143.454765,105.103183,116.090248,43.798076,62.317378,60.345796,209.97433,72.447043,97.837128,48.682566,101.188657,72.598229,76.046677,58.82886,37.920456,200.969,36.857084
2017-04-17,32.872257,42.570021,59.831639,44.9265,142.429254,53.656,94.494139,66.201956,129.553534,41.090259,69.078062,70.761948,20.641446,28.543737,32.329789,85.311,21.497607,18.382527,29.865109,38.732922,25.017531,119.756028,27.899308,14.287,44.396293,168.606,103.411,37.124661,36.747374,107.26612,146.921187,108.380234,47.208552,40.994339,121.382375,145.094588,106.254489,117.844063,43.586359,62.683447,61.873047,213.962275,73.864698,101.559471,49.131213,103.006211,69.1452,77.683156,58.63308,38.387014,202.767,37.212594
2017-04-24,33.191113,45.819706,61.687861,46.2495,148.942061,54.294,95.821216,68.144464,127.098374,41.741501,68.072525,71.983028,20.813253,27.734242,32.389839,85.198185,21.566454,18.892479,29.725322,39.194962,25.970362,124.626107,28.652355,15.22,44.711924,172.766,103.353,37.285689,36.840234,112.508419,150.114379,110.324571,49.084578,41.962587,123.584374,150.829719,107.331519,120.508632,45.034229,64.716297,61.765388,211.110385,75.044913,103.322686,48.744145,107.657771,70.524719,84.222642,57.846166,40.231716,205.783,37.684031
2017-05-01,34.418017,47.096385,62.174444,46.7075,148.932148,54.54,95.852259,68.144464,128.106743,43.025894,67.425552,71.369115,20.54327,28.205441,32.795181,85.153059,21.945115,19.216257,30.501066,39.735462,26.214286,124.330708,28.520755,15.66,45.888364,172.934,99.974,36.838967,37.684419,115.748674,149.462007,111.443751,48.547547,42.891792,123.955158,153.106779,103.97973,122.705516,45.751335,65.425069,62.116416,213.915266,75.023962,103.51008,47.459784,111.534071,70.973274,82.064776,57.661483,39.585711,207.183,37.707655
2017-05-08,36.216627,47.337249,61.615775,48.0675,149.021365,55.409,95.953148,68.081803,123.941739,41.394173,67.183911,71.483802,20.450933,27.691955,32.720118,84.919907,21.863833,19.426713,29.432452,39.299575,25.497757,125.280773,28.498821,16.081,45.601428,172.617,97.907,36.698717,37.110373,116.874321,147.479137,111.092822,47.301637,43.196321,121.238602,151.494583,101.844241,120.964008,45.116184,64.973324,62.943283,212.528495,73.298254,103.033075,47.679709,111.740807,70.110017,82.946042,57.211818,39.499577,206.561,37.730874
