month,available_date,fed_rate,dollar,credit,liquidity,sentiment,earnings,inflation,housing,semiconductor,ai_innovation,regulation,crypto_native,composite
2013-02,2013-04,-0.2341,0.0010,0.0000,1.0000,1.0000,-0.5155,-0.0143,1.0000,0.0000,0.0000,0.0000,0.0000,0.1801
2013-03,2013-05,-0.2531,0.0214,0.0000,1.0000,1.0000,-0.5155,0.2579,1.0000,0.0000,0.0000,0.0000,0.0000,0.2000
2013-04,2013-06,-0.4161,0.2615,0.0000,1.0000,1.0000,-0.3736,0.4604,1.0000,0.0000,0.0000,0.0000,0.0000,0.2309
2013-05,2013-07,-0.0221,-0.2487,0.0000,1.0000,1.0000,-0.3736,0.2878,1.0000,0.0000,0.0000,0.0000,0.0000,0.2147
2013-06,2013-08,0.2803,-0.3939,0.0000,1.0000,0.4542,-0.3736,0.0565,1.0000,0.0000,0.0000,0.0000,0.0000,0.1722
2013-07,2013-09,0.3961,-0.1880,0.0000,1.0000,0.9585,-0.3230,-0.0919,1.0000,0.0000,0.0000,0.0000,0.0000,0.2394
2013-08,2013-10,0.5160,-0.4672,0.0000,1.0000,0.8689,-0.3230,0.1014,1.0000,0.0000,0.0000,0.0000,0.0000,0.2337
2013-09,2013-11,0.5350,-0.0027,0.0000,1.0000,0.7474,-0.3230,0.3835,1.0000,0.0000,0.0000,0.0000,0.0000,0.2896
2013-10,2013-12,0.6733,0.0160,0.0000,1.0000,0.6005,-0.1470,0.5093,1.0000,0.0000,0.0000,0.0000,0.0000,0.3185
2013-11,2014-01,1.0000,-0.2628,0.0000,1.0000,0.9717,-0.1470,0.2547,1.0000,0.0000,0.0000,0.0000,0.0000,0.3410
2013-12,2014-02,1.0000,-0.2724,0.0000,1.0000,0.7403,-0.1470,0.0690,1.0000,0.0000,0.0000,0.0000,0.0000,0.3071
2014-01,2014-03,0.9750,-0.7980,0.0000,1.0000,0.7135,-0.2467,0.0533,1.0000,0.0000,0.0000,0.0000,0.0000,0.2440
2014-02,2014-04,0.9514,-0.6998,0.0000,1.0000,0.5019,-0.2467,0.4025,1.0000,0.0000,0.0000,0.0000,0.0000,0.2587
2014-03,2014-05,0.7594,-0.7707,0.0000,1.0000,0.5768,-0.2467,0.0573,1.0000,0.0000,0.0000,0.0000,0.0000,0.2114
2014-04,2014-06,0.5806,-0.7307,0.0000,1.0000,0.6683,0.0053,-0.2339,1.0000,0.0000,0.0000,0.0000,0.0000,0.2023
2014-05,2014-07,0.4240,-0.6964,0.0000,1.0000,0.9167,0.0053,-0.3244,1.0000,0.0000,0.0000,0.0000,0.0000,0.2021
2014-06,2014-08,0.2436,-0.5079,0.0000,1.0000,1.0000,0.0053,-0.1980,0.8863,0.0000,0.0000,0.0000,0.0000,0.2095
2014-07,2014-09,0.3485,-1.0000,0.0000,1.0000,0.8592,0.0425,-0.0679,0.7572,0.0000,0.0000,0.0000,0.0000,0.1694
2014-08,2014-10,0.1511,-1.0000,0.0000,1.0000,0.6463,0.0425,0.2530,0.6431,0.0000,0.0000,0.0000,0.0000,0.1472
2014-09,2014-11,0.2199,-1.0000,0.0000,1.0000,0.6517,0.0425,0.3975,0.5483,0.0000,0.0000,0.0000,0.0000,0.1607
2014-10,2014-12,0.1258,-1.0000,0.0000,1.0000,-0.4915,-0.1509,0.5551,0.4862,0.0000,0.0000,0.0000,0.0000,0.0471
2014-11,2015-01,-0.0186,-1.0000,0.0000,1.0000,0.7812,-0.1509,1.0000,0.4428,0.0000,0.0000,0.0000,0.0000,0.1677
2014-12,2015-02,-0.5923,-1.0000,0.0000,1.0000,-0.3808,-0.1509,1.0000,0.3943,0.0000,0.0000,0.0000,0.0000,0.0044
2015-01,2015-03,-0.7468,-1.0000,0.0000,1.0000,-1.0000,-0.2253,1.0000,0.3296,0.0000,0.0000,0.0000,0.0000,-0.0742
2015-02,2015-04,-0.5577,-1.0000,0.0000,1.0000,-0.2723,-0.2253,1.0000,0.2956,0.0000,0.0000,0.0000,0.0000,0.0056
2015-03,2015-05,-0.5367,-1.0000,0.0000,1.0000,0.1964,-0.2253,1.0000,0.2896,0.0000,0.0000,0.0000,0.0000,0.0466
2015-04,2015-06,-0.5620,-1.0000,0.0000,1.0000,0.7377,-0.4074,1.0000,0.2965,0.0000,0.0000,0.0000,0.0000,0.0741
2015-05,2015-07,-0.5190,-1.0000,0.0000,1.0000,0.7889,-0.4074,1.0000,0.3146,0.0000,0.0000,0.0000,0.0000,0.0842
2015-06,2015-08,-0.4351,-1.0000,0.0000,1.0000,0.2295,-0.4074,1.0000,0.3157,0.0000,0.0000,0.0000,0.0000,0.0470
2015-07,2015-09,-0.6339,-1.0000,0.0000,1.0000,0.1766,-0.6434,1.0000,0.3114,0.0000,0.0000,0.0000,0.0000,0.0006
