date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2022-02-18,,1.0848,4.0426,,-0.0697,-0.0697,1.4347,,8005144.0358,8005144.0358
2022-02-25,,1.0711,3.9913,,-0.0815,-0.0815,1.4216,,7903563.6555,7903563.6555
2022-03-04,,1.0660,3.9722,,-0.0859,-0.0859,1.4194,,7865905.8218,7865905.8218
2022-03-11,,1.0191,3.7975,,-0.1261,-0.1261,1.2885,,7519899.7866,7519899.7866
2022-03-18,,0.9862,3.6750,,-0.1543,-0.1543,1.2488,,7277315.3231,7277315.3231
2022-03-25,,1.0203,3.8022,,-0.1250,-0.1250,1.3219,,7529185.9201,7529185.9201
2022-04-01,,1.0219,3.8081,,-0.1237,-0.1237,1.2958,,7540805.9171,7540805.9171
2022-04-08,,1.0459,3.8973,,-0.1031,-0.1031,1.3225,,7717506.9621,7717506.9621
2022-04-15,,1.0383,3.8690,,-0.1096,-0.1096,1.2909,,7661503.4529,7661503.4529
2022-04-22,,1.0316,3.8442,,-0.1153,-0.1153,1.2522,,7612372.0593,7612372.0593
2022-04-29,,1.0017,3.7326,,-0.1410,-0.1410,1.1899,,7391322.1452,7391322.1452
2022-05-06,,1.0163,3.7871,,-0.1285,-0.1285,1.2358,,7499254.3158,7499254.3158
2022-05-13,,0.9947,3.7065,,-0.1470,-0.1470,1.2062,,7339653.4950,7339653.4950
2022-05-20,,0.9993,3.7240,,-0.1430,-0.1430,1.2459,,7374241.6391,7374241.6391
2022-05-27,,0.9980,3.7189,,-0.1442,-0.1442,1.2473,,7364320.7650,7364320.7650
2022-06-02,,1.0066,3.7511,,-0.1368,-0.1368,1.2679,,7428000.0607,7428000.0607
2022-06-10,,1.0047,3.7437,,-0.1385,-0.1385,1.2871,,7413410.2501,7413410.2501
2022-06-17,,1.0098,3.7630,,-0.1340,-0.1340,1.2995,,7451522.8570,7451522.8570
2022-06-24,,1.0279,3.8302,,-0.1186,-0.1186,1.3495,,7584657.2331,7584657.2331
2022-07-01,,1.0613,3.9550,,-0.0899,-0.0899,1.3959,,7831724.4373,7831724.4373
2022-07-08,,1.0485,3.9070,,-0.1009,-0.1009,1.3908,,7736773.4004,7736773.4004
2022-07-15,,1.0169,3.7895,,-0.1279,-0.1279,1.3456,,7504071.7547,7504071.7547
2022-07-22,,1.0233,3.8131,,-0.1225,-0.1225,1.3325,,7550700.0070,7550700.0070
2022-07-29,,1.0433,3.8876,,-0.1054,-0.1054,1.3178,,7698221.2097,7698221.2097
2022-08-05,,1.0173,3.7910,,-0.1276,-0.1276,1.2853,,7507042.5216,7507042.5216
2022-08-12,,1.0466,3.9002,,-0.1025,-0.1025,1.2962,,7723226.1843,7723226.1843
2022-08-19,,1.0698,3.9863,,-0.0826,-0.0826,1.3147,,7893817.5850,7893817.5850
2022-08-26,,1.0672,3.9770,,-0.0848,-0.0848,1.2855,,7875233.5981,7875233.5981
2022-09-02,,1.0415,3.8812,,-0.1068,-0.1068,1.2684,,7685572.6661,7685572.6661
2022-09-09,,1.0534,3.9255,,-0.0966,-0.0966,1.2614,,7773427.7279,7773427.7279
2022-09-16,,1.0498,3.9121,,-0.0997,-0.0997,1.2455,,7746809.4689,7746809.4689
2022-09-23,,1.0373,3.8655,,-0.1104,-0.1104,1.2129,,7654502.8428,7654502.8428
2022-09-30,,1.0226,3.8104,,-0.1231,-0.1231,1.2039,,7545506.3559,7545506.3559
2022-10-14,,1.0016,3.7323,,-0.1411,-0.1411,1.1597,,7390819.5339,7390819.5339
2022-10-21,,1.0028,3.7368,,-0.1401,-0.1401,1.1797,,7399599.8305,7399599.8305
2022-10-28,,0.9657,3.5985,,-0.1719,-0.1719,1.1191,,7125785.1944,7125785.1944
2022-11-04,,0.9520,3.5477,,-0.1836,-0.1836,1.1072,,7025148.5822,7025148.5822
2022-11-11,,0.9832,3.6638,,-0.1569,-0.1569,1.1608,,7255159.3079,7255159.3079
2022-11-18,,1.0152,3.7829,,-0.1294,-0.1294,1.1958,,7491048.6313,7491048.6313
