combo,excess,gamma,avg_vol,avg_corr,rebal,hold,tier
"AMD,MU,WDC,ENTG",5.2539781134068875,5.229160773841535,51.93508917155676,0.4998710661912429,20.10111521516036,14.847137101753471,Q1低离散
"AMD,MU,WDC,RCL",5.822290221410231,5.86401489210997,52.333882623225925,0.4489968185546273,20.3683521775903,14.546061956180068,Q1低离散
"AMD,MU,WDC,BIDU",6.2715677076288,6.015870087371611,50.634932728956386,0.38956624975271953,21.79760614274433,15.526038435115531,Q1低离散
"AMD,MU,WDC,TCOM",6.178100902211825,5.8006782027789985,49.734843998646774,0.385561654287035,22.226742948565146,16.048642046353322,Q1低离散
"AMD,MU,WDC,FSLR",7.429604094866615,7.098842621557566,53.61833113848316,0.3672112334963565,22.067161273993573,14.637557179126958,Q3
"AMD,MU,WDC,WLDN",7.140519850650762,6.904347849236696,52.9932121858671,0.36701617065771924,21.861207314078857,14.720687463428096,Q2
"AMD,MU,WDC,27_HK",5.961762981189667,6.107230563556279,49.79998011908333,0.3534925696036371,20.491285073118082,14.529522091928415,Q1低离散
"AMD,MU,WDC,921_HK",6.838344374489025,6.480367768115328,50.99114358787907,0.3500795644785177,22.23641102050429,15.398066646015263,Q2
"AMD,MU,WDC,1919_HK",6.028565410393272,6.171369294957095,50.97265590511162,0.3809434978027042,21.05503201823535,15.026466607842082,Q1低离散
"AMD,MU,WDC,2018_HK",6.2715379912368086,6.008282064870086,49.94472728969256,0.3667177652913424,21.461607978952422,15.190069987715615,Q1低离散
"AMD,MU,WDC,2333_HK",6.553289692423703,6.403154274553685,50.53539077727011,0.34296211352222206,23.48480572121272,16.93151602878902,Q2
"AMD,MU,WDC,2382_HK",6.8189060005278135,6.259748161896225,51.67154047637534,0.3867462791308476,23.73284114576868,16.913935145240867,Q1低离散
"AMD,MU,WDC,3323_HK",6.009732951697222,6.359076778574195,50.76716448943957,0.3527556289105693,19.175487421688352,13.165754469991132,Q1低离散
"AMD,MU,WDC,AMD_US",5.767401708288755,5.407825194712694,54.49093298272357,0.5201351055666157,22.643273418564203,16.875871710275447,Q1低离散
"AMD,MU,ON,ENTG",5.294155421131674,5.204889535634269,51.79268462082758,0.496133709980531,19.633651093450013,14.339495672318336,Q1低离散
"AMD,MU,ON,RCL",5.94562986592817,5.87531234299719,52.191478072496736,0.44094544776944744,19.955426781406626,14.009796915478457,Q1低离散
"AMD,MU,ON,BIDU",6.2758558460625835,6.181161142619164,50.27752765905751,0.361317236288105,21.133320508219967,14.857464662157383,Q1低离散
"AMD,MU,ON,TCOM",6.300248333420111,5.926787320477117,49.59243944791759,0.36608186733399384,21.93991021637707,15.639661882956958,Q1低离散
"AMD,MU,ON,FSLR",7.3452513049735435,7.043022478259947,53.30411188749874,0.36232894225492385,21.63975991005802,14.294508605084477,Q2
"AMD,MU,ON,WLDN",7.176491904497184,6.939488538969125,52.67899293488267,0.3533282732866542,21.55872665415679,14.382234749659606,Q2
"AMD,MU,ON,27_HK",6.275524232174767,6.235720592801933,49.65757556835414,0.33364142446604234,20.26715819683411,13.991633964659345,Q1低离散
"AMD,MU,ON,921_HK",7.096009530601077,6.66512584078104,50.84873903714988,0.323484234227805,22.0345725059683,14.938562975367219,Q2
"AMD,MU,ON,1919_HK",6.244613831037205,6.3289191252186825,50.669422140123885,0.35467284132376803,20.80676563237369,14.562151801336487,Q1低离散
"AMD,MU,ON,2018_HK",6.284061376709871,6.088345842587545,49.587322219793684,0.3483814941755115,20.764303565728582,14.48024218901871,Q1低离散
"AMD,MU,ON,2333_HK",6.652547687225829,6.515070868465594,50.39298622654091,0.32473710223302965,23.234228462260443,16.581680775034613,Q2
"AMD,MU,ON,2382_HK",6.338744222033088,6.341941860114786,51.16519462102849,0.3641696473756524,22.55568915439099,16.2169449323579,Q1低离散
"AMD,MU,ON,3323_HK",6.274363238880776,6.534455809732092,50.44196381681919,0.32358053229059563,18.78704574032024,12.512682501439464,Q2
"AMD,MU,ON,AMD_US",5.136932824482576,5.275196680725111,54.06457533267244,0.5207530821765456,21.267506305411963,16.13057348092939,Q1低离散
"AMD,MU,ENTG,RCL",6.101299162827667,6.0970722902720205,54.21677999569698,0.4523588166366281,19.62541133381972,13.524112170992053,Q1低离散
"AMD,MU,ENTG,BIDU",6.716998753334602,6.648636860569514,52.531757499288865,0.36292878151708097,21.47149922845537,14.754500475120768,Q2
"AMD,MU,ENTG,TCOM",6.459420533638949,6.324023856533032,51.617741371117845,0.3719944200286132,21.737056980617055,15.277636446978104,Q1低离散
"AMD,MU,ENTG,FSLR",8.048595833221196,7.716888443860332,55.72004011411585,0.3452429768537621,22.321774524196904,14.273178690975708,Q3
"AMD,MU,ENTG,WLDN",8.143198750600833,7.8335326745144735,55.09492116149978,0.3208143624515926,22.504397999838545,14.36119924923771,Q4高离散
"AMD,MU,ENTG,27_HK",6.505466371683655,6.593042792336187,51.68287749155439,0.3443942298642424,20.009800764620223,13.504334392936567,Q2
"AMD,MU,ENTG,921_HK",7.3617453087544416,7.1208763867684,52.87404096035013,0.3246311828177129,21.889890220058206,14.528144911303764,Q3
"AMD,MU,ENTG,1919_HK",6.687935289161651,6.891734228302856,52.88891545575392,0.346265377696549,20.941978735900936,14.254043446739285,Q2
"AMD,MU,ENTG,2018_HK",6.602985198089906,6.4666493180131885,51.841552060025045,0.3624073622746749,20.973435661313754,14.37045046322385,Q2
"AMD,MU,ENTG,2333_HK",6.77184793382184,6.920347200835068,52.418288149741166,0.3304923535829855,23.04704344611497,16.275195512293127,Q2
"AMD,MU,ENTG,2382_HK",7.39258391256139,6.994981179821274,53.83056159108376,0.35982798477021977,23.825096444487603,16.432512531926214,Q2
"AMD,MU,ENTG,3323_HK",6.729488179546506,6.925984243659415,52.80810612579996,0.33801296417311755,19.32587941383077,12.596391234284265,Q2
"AMD,MU,ENTG,AMD_US",6.183514588818317,6.010148185223,56.642787276945896,0.4993850685691453,22.500261628743413,16.316747039925094,Q1低离散
"AMD,MU,RCL,BIDU",7.582505737627954,7.332383987563886,52.973408712265105,0.3101983699850123,22.168965849088007,14.586460111460053,Q3
"AMD,MU,RCL,TCOM",6.838102415090352,6.798805281585209,52.016534822786994,0.33819762371529855,21.83684176367915,14.998739348588796,Q2
"AMD,MU,RCL,FSLR",8.927946559482614,8.331733925281775,56.25014027912082,0.30432275922666857,22.98900285164869,14.061056292166075,Q4高离散
"AMD,MU,RCL,WLDN",8.78222162279043,8.231391557126562,55.62502132650475,0.29878243214435113,22.934283347878058,14.152061725087627,Q4高离散
"AMD,MU,RCL,27_HK",7.181121764110565,7.223889639982898,52.08167094322356,0.2944750934659732,20.302059362990388,13.120937598879824,Q3
"AMD,MU,RCL,921_HK",7.9600825010966325,7.734874798840201,53.2728344120193,0.2778349501410115,22.16949478097021,14.209412279873579,Q4高离散
"AMD,MU,RCL,1919_HK",7.304307490716311,7.490623346137813,53.29775078501503,0.3014035667638111,21.267001181718026,13.962693691001714,Q3
"AMD,MU,RCL,2018_HK",7.4520120365032305,7.137379628821693,52.28320327300128,0.3101943853105825,21.642989337851425,14.190977301348195,Q3
