波动档,N,策略,窗口,净CAGR,死拿,超额pp,波动,回撤,夏普
35,30,B 波动最高,全期21年,23.44232862881428,17.478004184433882,5.964324444380398,24.816450459665766,-58.34264962848466,0.9446285908984103
35,30,C 最小相关贪心,训练期05-15,21.275709480035964,15.59703240442265,5.678677075613314,18.386814539417863,-32.92156379342045,1.157117750572012
35,30,C 最小相关贪心,验证期16-25,27.736004700900008,30.26765308629138,-2.531648385391372,16.756249649902713,-18.74464797980664,1.6552632767118651
35,30,C 最小相关贪心,全期21年,24.78509437926981,18.66680405358818,6.11829032568163,17.803392283063303,-32.92156379342045,1.3921557187080762
35,30,D 最大γ*贪心,训练期05-15,20.464301761855786,11.276167568565176,9.188134193290608,26.230730408078934,-49.66277791479129,0.7801651514649734
35,30,D 最大γ*贪心,验证期16-25,26.24125942672628,30.386198422154465,-4.144938995428182,18.339283818047488,-25.804297773410134,1.4308770008184586
35,30,D 最大γ*贪心,全期21年,23.19570873761243,17.111254742336325,6.084453995276107,22.546235392508393,-49.66277791479129,1.0288062877814113
35,30,E 类别均衡,训练期05-15,20.81303850506371,13.859816508448674,6.953221996615033,21.33923340183052,-40.33427904735441,0.975341433927909
35,30,E 类别均衡,验证期16-25,26.180545521836596,18.311625839194523,7.868919682642073,17.33132427186127,-18.379068244318564,1.5105911764828446
35,30,E 类别均衡,全期21年,22.937945817238404,15.239729399049985,7.698216418188419,19.39787717895913,-40.33427904735441,1.1824977344489624
35,50,A 随机,训练期05-15,17.394014247213896,13.69434051829639,3.6996737289175075,25.464704603140664,-51.87668827719602,0.6830636568652213
35,50,A 随机,验证期16-25,21.683069013869492,16.32001144309001,5.363057570779484,18.073334259175745,-25.616443401592793,1.1997271064060082
35,50,A 随机,全期21年,19.45890074844463,13.682083717515159,5.776817030929471,22.010057753100636,-51.87668827719602,0.8840913080159176
35,50,B 波动最高,训练期05-15,18.99632279556176,13.714833638397339,5.281489157164421,27.61668390776917,-56.973625614000966,0.6878567629264745
35,50,B 波动最高,验证期16-25,25.162617928547682,26.62683938214141,-1.4642214535937281,19.323247575455877,-26.37788854043739,1.3021940452964487
35,50,B 波动最高,全期21年,21.591387754278536,16.438200823000116,5.1531869312784195,23.715038446063787,-56.973625614000966,0.9104513072321107
35,50,C 最小相关贪心,训练期05-15,19.36725795973704,14.46687199574832,4.900385963988718,22.749241749916084,-46.40621901434697,0.8513364169515003
35,50,C 最小相关贪心,验证期16-25,23.68048626532677,25.906040783769456,-2.225554518442685,17.05760094245483,-22.866584320055683,1.3882659317224486
35,50,C 最小相关贪心,全期21年,21.367934229012462,16.51995502344974,4.847979205562725,20.190941583941708,-46.40621901434697,1.0582931033789351
35,50,D 最大γ*贪心,训练期05-15,19.240607355745333,14.154106030292102,5.08650132545323,25.102564345352025,-50.28691912657768,0.7664797544601418
35,50,D 最大γ*贪心,验证期16-25,24.25455338142193,26.1545967357971,-1.9000433543751694,18.42874346387026,-25.065373504167866,1.316126269214894
35,50,D 最大γ*贪心,全期21年,21.503735183631978,16.320390455812284,5.183344727819694,22.036892971544244,-50.28691912657768,0.9758061270887542
35,50,E 类别均衡,训练期05-15,20.111993659808913,14.547921830124434,5.56407182968448,23.499589341438956,-47.09071807779653,0.8558444731773934
35,50,E 类别均衡,验证期16-25,22.608462426487197,25.948006375069134,-3.3395439485819356,17.4259434430001,-23.432452214038868,1.2974024907425534
35,50,E 类别均衡,全期21年,21.169922529640807,16.69476596678954,4.475156562851268,20.610134535725773,-47.09071807779653,1.0271608122181197
40,20,A 随机,训练期05-15,20.753098811111403,14.724347293774143,6.028751517337261,26.339850115703378,-49.934059205819494,0.7878973767864668
40,20,A 随机,验证期16-25,19.630221760703527,16.028984221046414,3.6012375396571095,19.219030690234945,-24.19840691448113,1.0213949952573573
40,20,A 随机,全期21年,19.472848715847,13.485935324313303,5.986913391533699,23.07634882600128,-49.934059205819494,0.8438444427528312
40,20,B 波动最高,训练期05-15,26.226129451073987,16.359874762297167,9.86625468877682,31.79374332496579,-61.978353851783275,0.8248833483687378
40,20,B 波动最高,验证期16-25,23.51710668694693,33.35135818588226,-9.83425149893533,19.655245116202476,-30.918657017140372,1.1964799496476894
40,20,B 波动最高,全期21年,23.447891767562858,18.59636110217986,4.851530665382997,26.420121089708186,-61.978353851783275,0.8875012982698576
40,20,C 最小相关贪心,训练期05-15,25.898455271040667,17.079075237594953,8.81938003344571,20.951739278444983,-35.03819162518851,1.2361004939425164
40,20,C 最小相关贪心,验证期16-25,32.52263095914909,20.805824366488814,11.716806592660278,19.297017534357305,-19.3931741421664,1.6853708559493346
40,20,C 最小相关贪心,全期21年,28.58296122805917,17.207722143659687,11.37523908439948,20.2518718347943,-35.03819162518851,1.411373796023704
