组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['TSLA', 'VRTX', 'PLUG', 'MARA']",34.60196546558173,-4.502489396110287,47.37748297873496,77.20628243907228,0.16497893147117024,87.49079613502653,21.817956389477065,-0.6411245486077137,14.416666666666666
"['IBM', 'SMCI', 'MET', 'MARA']",22.40729920151535,-4.7775784429009205,7.115721908502302,12.822862563194384,0.25020583171894856,64.11106458833721,11.150356981791882,-0.7258247465644929,14.416666666666666
"['TIP', 'SMCI', 'ENTG', 'MARA']",22.770796849290527,-4.885243353727309,10.394718699954412,18.688629542411807,0.19478587385426663,62.237495846901595,2.7596648609421064,-0.6598108388295651,14.416666666666666
"['XLY', 'CLF', 'FSLR', 'MARA']",24.813885965762697,-5.352203068815964,4.493965969162165,8.861553474421095,0.32489342751311756,69.75221610456383,4.76081258350427,-0.4246290000414632,14.416666666666666
"['SMCI', 'COP', 'MARA', '1928_HK']",22.931631605665796,-5.455323970721704,6.9261545562827935,13.559474315609535,0.12487452588431631,66.2308610562916,13.528338374212304,-0.7273688882321399,14.416666666666666
"['SMCI', 'PFE', 'MARA', '763_HK']",23.06248415146655,-5.668884911678629,6.79998477942994,13.670525270818535,0.12972178805468845,66.85436420978431,15.766231668290239,-0.731406753258406,14.416666666666666
"['MU', 'RCL', 'PLUG', 'WULF']",25.23753334201464,-5.906239758188536,49.86281794271829,93.66135313051332,0.19312979950682851,77.69028266035855,26.127849949802847,-0.708273177581472,14.333333333333334
"['CDNS', 'STX', 'MSTR', 'MARA']",25.13350009906733,-5.936778338504167,16.03676261371686,31.949960450780498,0.36312701912004125,71.54068650710413,1.7314541669864725,-0.3262584168054916,14.416666666666666
"['AMZN', 'SMCI', 'WFC', 'MARA']",22.627227394934476,-6.052659035414765,12.438890229040249,25.417306468312244,0.23614908448763994,65.43702996326398,1.8784456013568895,-0.5532000755481987,14.416666666666666
"['SMCI', 'PRU', 'FICO', 'MARA']",23.031313017294746,-6.19803374929373,12.222492081811003,25.4186784367057,0.23805747884790562,66.49714002446414,1.9441655292392788,-0.5472017318181259,14.416666666666666
"['WFC', 'VLO', 'MSTR', 'MARA']",24.134691500541635,-6.383814519787734,7.493669149130569,16.329435134839198,0.3647480774996313,69.96720754520257,3.139587478080663,-0.5911675307365178,14.416666666666666
"['SMCI', 'ON', 'BKR', 'MARA']",24.55369972755639,-6.608582987314282,8.588160420767824,19.079070535509867,0.2554533413347422,72.69921547217108,4.714080993263292,-0.6746486865631696,14.416666666666666
"['SMCI', 'TMO', 'CLF', 'PLUG']",22.697339521684867,-6.635751318637695,11.564439772595303,29.26722231512224,0.1657970513388514,69.84846905053196,4.8295953242646315,-0.6849586382275298,16.666666666666668
"['AVGO', 'MRVL', 'CLF', 'MARA']",25.134328257748283,-6.671797071549812,7.012900150815224,15.870641939278455,0.2823629098743341,74.09280991942353,2.710956854749722,-0.720011169517133,14.416666666666666
"['SMCI', 'KHC', 'MARA', '2208_HK']",23.498490212561414,-6.673012617024843,7.22880810487348,16.074751454673564,0.05560109954256346,68.47199553149449,10.0920990072309,-0.6868577583483761,14.166666666666666
"['SMCI', 'DIS', 'MARA', '2899_HK']",22.967756022738044,-6.722815446351804,10.01951178941599,22.370920186103092,0.22484390282524147,66.18809487554125,3.019680745956355,-0.6493550796978174,14.416666666666666
"['UPS', 'MSTR', 'MARA', '2020_HK']",23.23117092356339,-7.00863035389967,5.114107644024897,12.270040188279733,0.24080414265461592,66.26125136301513,1.9701108947841757,-0.5630760103440032,14.416666666666666
"['JPM', 'C', 'MSTR', 'MARA']",23.44942709899606,-7.418216196538996,5.4640360656458835,13.71897744998629,0.4233893309950729,67.11028502417656,1.4010231394226287,-0.5342268013918386,14.416666666666666
"['ADBE', 'MDT', 'MSTR', 'MARA']",22.961064649372823,-7.650847368555591,4.84355259659079,12.60238647118996,0.2725029182781433,64.99233536541942,1.7382078539681558,-0.6426207465251076,14.416666666666666
"['LOW', 'SQM', 'MSTR', 'MARA']",24.033922567571143,-7.780512196413003,4.215114334691286,11.242342670611635,0.26623196594394766,69.82244796074202,2.2984743209699077,-0.5986851603293755,14.416666666666666
"['MDT', 'MSTR', 'MARA', '981_HK']",24.36939150603587,-7.824857204747282,7.1143513317409495,18.43945803493222,0.20606453352206522,69.87465203132798,2.9819625290509997,-0.5064070953260228,14.416666666666666
