组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['AIG', 'EXPE', 'PLUG', 'FISH_MEAL']",17.70042358858278,-4.74075956383333,2.163333527675847,5.381727002301068,0.08251232571147753,61.07292757300941,4.136972078529497,-0.5331788923837466,20.416666666666668
"['ISRG', 'PLUG', 'MSTR', 'XBI']",17.142764066072996,-4.748191042409533,14.410065390493797,33.41581646538647,0.22191990942708903,60.521345218365894,3.069362107550888,-0.6258703242944115,20.583333333333332
"['AIG', 'EXPE', 'PLUG', 'TEA_MOMBASA']",17.94187083150068,-4.857380812381273,1.8667667176457963,4.778334843374083,0.10655770657261943,62.68131667122879,7.159544848039329,-0.5937107279489365,20.416666666666668
"['PLUG', 'NYT', 'MSTR', '2333_HK']",18.40020017978425,-4.983388932722854,12.076898457167907,30.968965328902453,0.1620730218770101,64.64252760309802,2.9060213521874707,-0.7502851545712523,21.666666666666668
"['PLUG', 'MSTR', 'RAPESEED_OIL', 'DHHNGSP']",19.510018092541344,-5.013866729914418,5.7921108737323745,14.867722949991656,0.1179214815996205,64.08497551046439,16.561552511416828,-0.6692422651238655,20.916666666666668
"['PLUG', 'MSTR', 'WIT', '2020_HK']",17.206049703356864,-5.205733439295113,8.132127191660944,19.49185940501821,0.1657227213772747,62.917629718843024,3.0886876961363177,-0.6435254081071887,19.166666666666668
"['PLUG', 'PM', 'CELH', 'WIT']",20.142063818327973,-5.219132531667947,12.269728782254536,27.98457092888034,0.11822056858918968,65.16328559859397,18.96786335469349,-0.6693083144779788,18.5
"['SNPS', 'PLUG', 'MOD', 'XHB']",17.16795498308727,-5.249039719895099,6.746630805613246,17.65361900767541,0.2925579694309776,60.002041544006914,3.8558784059635207,-0.6924673281784332,20.583333333333332
"['F', 'PLUG', 'MSTR', '763_HK']",18.507416781648832,-5.251707274541961,5.877613238124865,16.364641384013833,0.17863631100370334,65.20198838232417,6.467166998362617,-0.6909750005490034,21.666666666666668
"['AIG', 'PLUG', '763_HK', 'SUGAR_US']",17.41210352470436,-5.38450551148828,1.6954076293311613,4.94439078771746,0.06864652441989381,59.26573685471638,6.07241654852986,-0.5436793547181673,20.916666666666668
"['LOW', 'ALB', 'PLUG', 'MSTR']",17.28007363708836,-5.384810564139375,8.021163416466068,22.57380279829271,0.2398871635510568,60.71169423464734,2.5396246108519804,-0.6079871918317433,21.666666666666668
"['UEC', 'PLUG', '1177_HK', '2319_HK']",18.972466276503987,-5.421283700557211,8.463751368325504,21.255073737689944,0.18825059474609138,65.19194894512157,15.269863491413918,-0.6737724916981083,19.416666666666668
"['SMCI', 'JPM', 'EXPE', 'PLUG']",17.24430726716153,-5.442028499591789,14.520463676498968,35.85280958706703,0.1882024619069186,62.51984260647573,6.771342021320168,-0.6917802571623757,19.5
"['FSLR', 'PLUG', '2382_HK', 'OIL_WTI']",17.40357316589872,-5.446763303138424,5.602529055522118,13.724700832721046,0.13190099262217828,64.25387584009363,9.365796512867155,-0.779123075982657,18.5
"['ON', 'PLUG', 'AMD_US', 'RUB_RSS3']",17.392764230243433,-5.46010204299292,5.952844659509819,14.766452726441047,0.19790707712184819,62.08146766345853,4.523012200203684,-0.668500332044516,18.75
"['SWKS', 'PLUG', 'MSTR', '939_HK']",17.143414593983223,-5.460704826982377,10.353350289658493,28.06686958872415,0.1873840644832855,59.885501147092604,1.633372485218059,-0.5793798049716361,20.916666666666668
"['STX', 'VALE', 'PLUG', 'NG_US']",17.95661655565442,-5.471622533484899,4.694684229060371,13.239749611498562,0.08511062252254468,64.41444220265466,13.130417782400107,-0.7421002598930828,20.916666666666668
"['TCOM', 'CLF', 'CCJ', 'PLUG']",18.674024419855634,-5.489659850929884,5.2348740312535975,15.335566078584154,0.22545022348275348,65.41521299247644,4.918194911516979,-0.744830516556552,21.666666666666668
"['WDC', 'PNC', 'UEC', 'PLUG']",19.498471399993903,-5.5490413393516125,10.02810208390172,25.51783949502312,0.22555870754040794,67.41677082694054,13.237573228235854,-0.6545922844482246,19.416666666666668
"['PNC', 'CLF', 'SQM', 'PLUG']",17.527987853970544,-5.550406203329827,4.248474372296841,12.720947258011238,0.21145097678378955,61.23283077624594,4.494569751603315,-0.7564979820588796,21.666666666666668
"['EWH', 'ENTG', 'PLUG', 'DHHNGSP']",18.1421314686393,-5.566415788631818,4.452867555241014,13.343102074608435,0.1563225005535191,62.346383269743754,12.53961389658809,-0.7126739607989738,21.666666666666668
