波动档,N,窗口,有效池,净CAGR中位,死拿中位,超额中位,净CAGR均值,P10,P90,最差,最好,波动,回撤,夏普,ge20
30,30,验证期16-25,60,18.808162099102212,18.319818691366265,-0.2108126475720229,19.17989788395029,15.742532773061466,22.322559731821578,14.149036231174584,26.782020512531357,17.635675280577914,-24.94308532179661,1.073952074111092,41.66666666666667
30,30,全期21年,60,16.70161020997275,14.509030883135864,1.8370000520238294,16.554638687220493,14.487438239068885,18.584721145845887,12.357693771633581,20.220435006085147,20.573993694613208,-51.016650812773754,0.8015111905796043,5.0
30,40,训练期05-15,60,14.015665517507546,11.724301116456814,2.2552461593061457,14.224565259049704,12.055293470098313,16.864555557327186,9.966374784026954,19.32919966587514,23.140883175209936,-50.36006508357188,0.6179552622750287,0.0
30,40,验证期16-25,60,19.138701066474017,18.55034883078679,-0.6175087744349494,19.069163844166376,15.830020974151243,22.452222359539295,13.833674174150602,25.273933124510606,17.727064944178252,-24.835675138346787,1.0825556877211109,31.666666666666664
30,40,全期21年,60,16.45088238825374,14.620314465951832,1.7291623938215817,16.370207103454806,14.941283023498073,18.02013895428037,12.94858897278479,21.224315403119085,20.692401076531954,-50.36006508357188,0.7991267041367698,1.6666666666666667
30,50,训练期05-15,60,14.013899332188917,11.5439414496195,2.5121497621418243,13.950730635901902,12.361281344150916,15.290223314382612,11.441391279413926,17.8172865860873,23.167476570640716,-51.08181114508956,0.5999971793141435,0.0
30,50,验证期16-25,60,19.352963047106986,18.92962748442767,0.5420930063977258,19.519259254506782,17.65722618698793,21.563630186008414,15.832379277578434,22.79958147645571,17.72906997213306,-24.678692232125787,1.0965410394279909,41.66666666666667
30,50,全期21年,60,16.640505821841998,13.946137597032227,2.416101793348402,16.564242865552917,15.256888748452427,17.79284486507364,14.337372819850236,18.693170118687384,20.666027238692685,-51.08181114508956,0.7999831372526383,0.0
35,4,训练期05-15,60,20.46548545350102,17.165234173913426,2.4205434827850647,20.155268615444825,12.65775319607071,27.944970469353194,7.489095143737323,32.77626681975725,31.959527532164017,-58.16108471402962,0.6421814674268598,56.666666666666664
35,4,验证期16-25,60,18.730151345548794,15.213622580824527,2.069770460827336,19.14988950789473,8.078610193446126,30.650523344092417,4.82625361713962,40.194424468154864,25.07469875827815,-37.4147647003105,0.7061648551675348,45.0
35,4,全期21年,60,18.23714014306882,15.830538496289003,2.7781748701404596,18.916967976085367,13.824269421384557,24.75534539936344,6.1008684359306065,33.00887828536361,29.614487972497148,-58.16108471402962,0.6452708169346153,41.66666666666667
35,6,训练期05-15,60,17.85652493385109,14.71884468368243,4.045422999155635,18.727009231594952,12.606127316635162,24.510227591710716,8.361393672510943,33.46538652328195,28.175082227315734,-55.71720030609359,0.6056373988976078,31.666666666666664
35,6,验证期16-25,60,20.921488662595422,18.21081313497789,2.5900364619702354,21.752731211349708,14.697996103691283,29.886004834055935,10.55447116765109,33.46109788425502,23.469399928268373,-31.505175419317265,0.9629672694153802,61.66666666666667
35,6,全期21年,60,19.26174360016858,15.582245984481048,3.487864800824325,19.478322142424506,15.52674891717476,23.536005644077648,12.049729048855884,26.700548624254637,26.510178366034282,-55.71720030609359,0.7372827360373954,40.0
35,8,训练期05-15,60,17.81748234285653,13.574078325045924,3.5806713397292134,18.755980847725194,12.590851539743264,25.233169041311257,11.263040139610636,30.190390812548372,27.854300826041126,-56.23629227624771,0.6484611089965087,41.66666666666667
35,8,验证期16-25,60,20.87747529473647,18.177563037455624,2.4339741208119436,21.244879079428067,14.599903952197447,28.663448483925524,8.280494092132207,35.193908809025956,21.013700341218485,-28.781116910377886,0.9889502799603813,56.666666666666664
35,8,全期21年,60,19.024303301180844,14.750728489814811,3.3978341332038475,19.355204762291557,15.118291390074997,24.54541318509934,12.32634790221583,28.03189953034608,24.858856272194302,-56.23629227624771,0.788683649135457,40.0
35,12,训练期05-15,60,17.781250253695745,14.637340111245889,4.011876866276099,18.167915558540187,14.468700015522588,22.998611448200002,11.244273590200816,25.68047479928186,27.837888619929302,-54.35238256077102,0.6467163036668746,25.0
35,12,验证期16-25,60,21.25283579076629,18.656505442910287,1.7741172914507164,21.461310535385056,17.294895682832085,26.562393854040334,10.407288919715896,33.195329956133214,20.40855558836503,-27.990680836331293,1.0402499792182518,65.0
35,12,全期21年,60,19.04008593032358,14.521076951699152,4.075837776806068,19.20401359501936,15.955229131616553,21.84764154805499,15.189801719552465,26.447032387139437,24.273887241407298,-54.35238256077102,0.765119888504521,30.0
35,16,训练期05-15,60,17.430554455176072,15.307374434704712,3.336333392474966,18.063813810816434,14.230723169436077,22.80487978005144,9.549987633611345,25.643348915178386,26.95043914341082,-55.52957181065899,0.6855856454121199,30.0
35,16,验证期16-25,60,20.411979032608173,17.453350306013924,2.153526583674714,20.515976254632033,16.324486026516443,24.828829787779604,13.393832425698404,30.495397359377407,19.355211016254422,-25.822638863884258,1.052079320144609,56.666666666666664
35,16,全期21年,60,18.91635256773556,14.757047631464392,3.9458191364235007,18.715928721804705,15.41571029036137,21.2713104110864,12.288170956534827,25.333515493646974,23.44057284655062,-55.52957181065899,0.8127983013450646,28.333333333333332
35,20,训练期05-15,60,17.3116206215988,13.265679967735833,3.892146774879701,17.143637955234205,13.293941717340871,20.72635348520039,11.408887636535248,23.817239378403233,25.909806529394274,-55.31404616589076,0.6515639959031556,18.333333333333332
35,20,验证期16-25,60,22.002253587462306,18.58322838633094,2.0861178096294397,21.57074570938676,17.609665804891307,24.826541127102534,14.282764375485769,28.425497111313746,19.21994175850683,-25.63173560781816,1.1112962738336671,68.33333333333333
35,20,全期21年,60,19.261867430789604,15.152942257652747,3.5056065902477895,18.936903875315082,16.76674811731422,21.239670891477545,12.614163577811265,22.598437519291494,22.752409120700506,-55.31404616589076,0.8336576484096674,28.333333333333332
35,25,训练期05-15,60,17.726865640838096,13.709494211890405,3.66234904870254,17.334803448654647,14.485626785167996,19.794761409984332,11.63164997908115,22.044516137342086,26.225414489352815,-53.92919465623895,0.6671535487232939,10.0
35,25,验证期16-25,60,20.97925372056688,18.31429208895615,1.363588147811412,20.981653429501456,17.030098025232245,24.37218583108707,14.444852502278716,27.353940431709333,18.335392878090083,-25.85614823590634,1.1520559286158187,61.66666666666667
35,25,全期21年,60,18.665260302850495,14.755422884644032,3.4101392227135485,18.61330484026468,16.435106418881787,20.96113874495908,14.139329645322851,22.303447544110043,22.570071002875565,-53.92919465623895,0.8317324178775135,23.333333333333332
35,30,训练期05-15,60,17.08922801671412,13.846416198838362,3.3827728569613913,17.103779255107323,14.318392401707658,19.728124164623953,11.456524117886268,21.772922223475998,25.769449506049995,-53.24978544248786,0.6502732554348079,10.0
35,30,验证期16-25,60,22.061985386514227,18.912006865008912,1.4479270720475168,21.686987061356927,18.91999165253608,23.910994998759843,16.426510048043763,26.841914799037212,18.670816881725802,-24.63563039860197,1.178043447000426,78.33333333333333
35,30,全期21年,60,18.936375461967593,15.428515658845775,3.3899766967400824,18.937756271087366,17.250193397785804,20.58803033179094,13.739427291813456,21.968319686248037,22.495488894261307,-53.24978544248786,0.8588946451685031,28.333333333333332
35,40,训练期05-15,60,16.66507197747272,12.64571569504588,3.7236713612209704,16.41794075890857,13.867026601678468,18.638891130370425,12.145900183768221,19.993806070005917,25.754226725149373,-52.85901586932936,0.6450292731935838,0.0
35,40,验证期16-25,60,21.186171536854005,18.945551739157516,1.2292293999447312,21.36911203837677,19.134818614713822,23.753133635885504,17.565696421009736,25.957665523385298,18.11747615276486,-24.68731736863517,1.1851848710331057,73.33333333333333
35,40,全期21年,60,18.700188026522092,14.319234590495244,3.682644326702078,18.577420473943516,16.55033813554982,20.28481501957558,15.649754795332838,21.40633805515362,22.15824501636981,-52.85901586932936,0.834035816132292,15.0
35,50,训练期05-15,60,16.54582982506635,12.709229286295908,3.810769441256101,16.54131224569091,14.838933841191421,18.311461443335133,12.931335581984671,20.785370631064293,25.503060361752155,-52.64249842560331,0.642548825724404,1.6666666666666667
35,50,验证期16-25,60,21.42585620204951,25.203426664439633,-2.7235087774968414,21.429361193043295,19.53661817745504,23.241870367995762,18.89818328976258,25.38006754554665,17.784051353718823,-24.91528021469283,1.198591446299271,81.66666666666667
35,50,全期21年,60,18.54384754000675,15.442781877856504,3.8755308426580704,18.625571203097582,17.430740664780362,20.042287605518876,16.98335846148713,21.11541353947708,21.893958012304253,-52.64249842560331,0.8466039363323752,11.666666666666666
