,cap_monthly
2018-05-25,16.155396656101342
2018-06-01,14.133390676466714
2018-06-08,13.5747191279537
2018-06-15,12.7454282816105
2018-06-22,13.07398929883047
2018-06-29,13.780246038926826
2018-07-06,12.952931820213774
2018-07-13,14.591133225492483
2018-07-20,15.96470175014681
2018-07-27,13.838152936402462
2018-08-03,12.007577663698383
2018-08-10,12.140063607321501
2018-08-17,12.280470253159264
2018-08-24,13.36916706496557
2018-08-31,11.01154462248406
2018-09-07,11.573375557148369
2018-09-14,12.598312198800791
2018-09-21,12.376394032556423
2018-09-28,12.289484939916807
2018-10-05,11.515858413161258
2018-10-12,12.04008638504769
2018-10-19,11.858647236991615
2018-10-26,11.928087191249144
2018-11-02,11.906773437268802
2018-11-09,10.427291783843309
2018-11-16,7.397444392406354
2018-11-23,7.496930064759477
2018-11-30,6.342802534620562
2018-12-07,5.799901743454452
2018-12-14,7.385729927905572
2018-12-21,7.263188908933327
2018-12-28,7.688447697711716
2019-01-04,6.563039446325187
2019-01-11,6.7501409923122475
2019-01-18,6.765981986030619
2019-01-25,6.562171130520907
2019-02-01,7.1537910065781904
2019-02-08,7.191622302526714
2019-02-15,7.305488853154744
2019-02-22,7.453606067649447
2019-03-01,7.758241467083341
2019-03-08,7.9178442041556885
2019-03-15,7.949783580387832
2019-03-22,8.182129765101294
2019-03-29,10.173502099218776
2019-04-05,10.005792799957696
2019-04-12,10.271934814549299
2019-04-19,10.178524076382013
2019-04-26,10.88841185887707
2019-05-03,12.76807199833844
2019-05-10,15.58868641064343
2019-05-17,16.39110617162383
2019-05-24,16.743636376497463
2019-05-31,14.615725199896799
2019-06-07,17.024529866974202
2019-06-14,20.38407455861778
2019-06-21,19.90215541975405
2019-06-28,20.808348542248854
2019-07-05,17.895928260230125
2019-07-12,18.579876356022766
2019-07-19,16.856742838881377
2019-07-26,18.77568790987274
2019-08-02,19.513807115067017
2019-08-09,17.49064617038991
2019-08-16,17.071037244819916
2019-08-23,16.103541872528634
2019-08-30,17.112783969608085
2019-09-06,17.02094048452356
2019-09-13,17.053765152067278
2019-09-20,13.685255573363145
2019-09-27,13.51710867455189
2019-10-04,14.393122723575916
2019-10-11,14.29421818856555
2019-10-18,16.167451852734903
2019-10-25,15.746720588186754
2019-11-01,15.640642349571417
2019-11-08,14.835341581475486
2019-11-15,11.873277963255118
2019-11-22,12.689614352950658
2019-11-29,12.843325530287917
2019-12-06,12.178737547972043
2019-12-13,12.452025750174377
2019-12-20,12.344851874312464
2019-12-27,12.318577641553029
2020-01-03,13.649543322972633
2020-01-10,14.79534171634554
2020-01-17,14.703215367175382
2020-01-24,16.035930330475303
2020-01-31,17.956606159708354
2020-02-07,17.978685085252778
2020-02-14,18.105637044416483
2020-02-21,15.259868406994014
2020-02-28,14.247996471754714
2020-03-06,9.423397627851998
2020-03-13,10.026039822980369
2020-03-20,10.182885005213267
2020-03-27,11.724012741937663
2020-04-03,12.169443239681193
2020-04-10,12.786825457748508
2020-04-17,13.787749733862213
2020-04-24,15.623731351449079
2020-05-01,14.978180120005563
2020-05-08,16.499563341067862
2020-05-15,15.153556110373437
2020-05-22,16.58585892164201
2020-05-29,17.17846114897795
2020-06-05,16.390979181184193
2020-06-12,16.24823550317846
2020-06-19,15.93209901608007
2020-06-26,15.935557820912285
2020-07-03,16.727013368676825
2020-07-10,16.545058529708456
2020-07-17,18.354631254206296
2020-07-24,20.786118740962245
2020-07-31,21.938748252973173
2020-08-07,22.855198291846254
2020-08-14,21.938238197160626
2020-08-21,22.634269426908233
2020-08-28,19.65632135838461
2020-09-04,20.20980812359201
2020-09-11,20.792773883304566
2020-09-18,20.53997647567522
2020-09-25,20.356178240967996
2020-10-02,21.53223793163463
2020-10-09,21.682764195697786
2020-10-16,23.873500300233143
2020-10-23,24.51432429723917
2020-10-30,27.477407429133926
2020-11-06,28.033911943300808
2020-11-13,33.136241356404454
2020-11-20,33.468499288151
2020-11-27,35.17275292792505
2020-12-04,34.36403976669991
2020-12-11,40.66896788824902
2020-12-18,43.41577701575349
2020-12-25,54.841595429088635
2021-01-01,65.68108904402047
2021-01-08,63.21743609103327
2021-01-15,59.50253225353786
2021-01-22,62.48904155282099
2021-01-29,74.81667632561907
2021-02-05,96.1173521959817
2021-02-12,115.38286845890867
2021-02-19,90.66761452875078
2021-02-26,103.31161035721595
2021-03-05,116.4923120411987
2021-03-12,114.99500203463502
2021-03-19,112.9087573411953
2021-03-26,125.23612597853096
2021-04-02,138.07411452851434
2021-04-09,133.48235119447008
2021-04-16,121.5509717672158
2021-04-23,144.39672711723222
2021-04-30,155.18926896315597
2021-05-07,129.5221850159176
2021-05-14,88.8952295032564
2021-05-21,95.1047971915754
2021-05-28,99.63847601007132
2021-06-04,103.7298716215046
2021-06-11,94.42455976801634
2021-06-18,89.25383053403584
2021-06-25,93.409172177033
2021-07-02,89.9298724707181
2021-07-09,82.47912873551508
2021-07-16,91.35673595365638
2021-07-23,103.79536504415313
2021-07-30,114.76350617370858
2021-08-06,128.96231711578773
2021-08-13,134.92176258700692
2021-08-20,134.8992376712714
2021-08-27,148.9119611158414
2021-09-03,133.03092574223908
2021-09-10,134.01158256593953
2021-09-17,121.60137377456832
2021-09-24,136.94202267307998
2021-10-01,149.3106003186386
2021-10-08,166.76780204226486
2021-10-15,168.7288568725975
2021-10-22,171.6917300773526
2021-10-29,181.21815618427468
2021-11-05,186.4145725254024
2021-11-12,168.24980293744255
2021-11-19,164.3259649842632
2021-11-26,144.72057938562847
2021-12-03,145.85891457218085
2021-12-10,137.18167445424575
2021-12-17,148.20208090484715
2021-12-24,138.49183806144646
2021-12-31,120.86948623945278
2022-01-07,125.72739350218271
2022-01-14,102.6751776561136
2022-01-21,105.80830937304721
2022-01-28,119.76869186734355
2022-02-04,117.70798516196444
2022-02-11,108.2225563945882
2022-02-18,105.83073658315665
2022-02-25,107.06982769218632
2022-03-04,105.8016575881588
2022-03-11,116.17817653890285
2022-03-18,132.05731985680296
2022-03-25,133.75654198398703
2022-04-01,120.90356656518874
2022-04-08,113.90577177831369
2022-04-15,112.87901625308386
2022-04-22,108.92752118766218
2022-04-29,97.35519896294
2022-05-06,87.27291254215027
2022-05-13,84.21527335424142
2022-05-20,80.31752880804576
2022-05-27,80.90633476472921
2022-06-03,70.32510758118346
2022-06-10,56.34376256611331
2022-06-17,58.52120927570213
2022-06-24,53.48501456367907
2022-07-01,57.61796635238671
2022-07-08,59.010986584960044
2022-07-15,64.61603152804437
2022-07-22,67.13455715604576
2022-07-29,67.45088097922677
2022-08-05,71.31901635825021
2022-08-12,62.76825812474334
2022-08-19,56.80333642785936
2022-08-26,58.89296463813193
2022-09-02,64.19043686205237
2022-09-09,56.270260503401886
2022-09-16,55.803025869916745
2022-09-23,56.071059268611435
2022-09-30,57.625819571221065
2022-10-07,56.60373211241663
2022-10-14,57.553353105559644
2022-10-21,61.634096846436435
